ketone urne|ketne urie|mchc blood
cysteine crystals urine|urine crystals cysteine|reticulocyte red cell count, blood manual
bodies fat urine urine|une ft ne bodies|cholesterol ratio (total/hdl) bld
bld indirect bilirubin, serum|idirectblood bilirubin, hepatology|protein blood antigen c,
willebrand von factor antigen blood|antien factor vonwillebrand blod|cholesterol, pleural pleural
triglycerides blood|blood tglycerides|oxyge lood saturation respiratory
hepatitis b antigen surface blood|hepatitis b surface antigen blood|calculated blood tbg
osmolality, blood measured|osmolality, point in time bld measured|protein/creatinine raio uine quan
yeast urine|urine yeast|rbc uine
stool stool osmolality,|osmolality, stool stool stool = fecal|anisotosi hematology/cell counts blood
polys spinal fluid csf (csf)|ererospinalflid polys (csf)|fluid other body cd13
polys cerebrospinal fluid (csf)|polys cererospial luid (csf)|blood ammonia amon
acetaminophen bld|acetaminophen bld|cd16/56 body other fluid
c10 bone marow|marrow bone cd10|hematocrit, caculated blood
albumin, urine urine|alumin, uie quantitative urin|chloride, whole blood blood
fluid other body cd16/56|other cd16/56 body fluid|proei urne
hepatitis b surace antiboyblood|hepatitis b surface antibody blood|sodium, acites ascites
bilirubin, universallaborders direct blood|irect biliubin, bld|urea nitrogen, urine urine
xiii factor blood|xiii factor blood|cerebrospinal csf hematocrit, fluid (csf
blood inr(pt)|blood inr(pt)|bicarbonate, ascites ascite
cd5 other body fluid|cd5 other fluid body|x factor blood
rbc, joint fluid joint fluid|rbc, oint fluid number concentration join fluid|bacteria urine
lymphs cerbrospinal fluid (csf) white blood cell|lymphs (csf) fluid cerebrospinal cerebrospinal fl|white blood wb cells blood
cells mesothelial joint fluid|mesothelial cells joint fluid|imunofiaion blood serplas
triglycerides, ascites ascites|ascites peritoneal fluid triglycerides, ascites|lactate dehydrogenase, ascites ascites l-lactate dehydrogenase
blood cd5|blood cd5|atypical lphocytes hematology/cell counts body other fluid
synovial fluid fluid joint macrophage|macrophage fluid joint hematology/cell counts|factor ii blood
lactate dehydrogenase, tumor marker ascites ascites|lactate dehydrogenase, ascites ascites|atypical lymphocytes joint fluid
blood cd20|lood cd20|blood sr tbramycin
cortisol ood|cortisol blood|blood troglobuin
wbc, pleural pleural|wbc, leuk pleural pleural|hemogloblin electro a blod
random bilirubin, total, ascites ascites|total, bilirubin, ascites ascites|fragmented cells blood
eosinophils leukocyte pleural|pleural eosinophils|immoglobulin m blood
hemogloblin alood haemoglobin|heogoblin a blood|estrdiol lood level
antien factor vonwillebrand blod|vn willerand fctr antien blood|cryoglobulin blood
cholesterol, pleural pleural|quant holesterol pleural pleurl|other body fluid sodium, body fluid
platelet count blood|count platelet bld|white blood wb cells blood
factor x blood|factor blood x|blood antithrombin
eosinophils leuc ascites|eosinophils ascites|rine urine amylase,
cysteine crystals urine|ystalsurine cysteine|urine appearance urine
rbc urine|rbc urine|cd7 blood
body mylase, flui otherbodyfuid|amylase, body fluid other body fluid|mesothelialcells fluid random cerebrspinal (csf)
creatinine urine clearance|creatinine urine urn clearance|biliruin urine
pls othr bdy flid|polys other body fluid|gamma glutamyltransferase blood
urine leukocytes|urine leukocytes|dhea-sulfate blood quant
blood cd41|blood cd41|plasma pleural cells
blood antithrombin|blood antithrombin|transitional epithelial cells urine
urine ph|urine h|blood lactate quantitative
blood cd16/56|cd16/5 blood|protein, total urineurine
reticulocyte ount, absolut blood|reticulocyte count, absolute blood|other cells bld
marrow bone cd10|c10 bone marow|antibodies anti-thyroglobulin arbitrary concentration blood
macophae other body hematology/cell counts fluid|macophage other body lud|eosiophilspleural
eosinophils urine|urine eosinophils|c-reactive protein blood
cd14 oherbody fluid|cd14 other body fluid|bld auto monocytes
protein s, antigen blood|s, protein antigen blood|wbc, csf (csf) fluid cerebrospinal
urine sulfonamides|sulfonamides urine|fmc-7 other fluid body
level bld digoxin|dioxn bood|blood cd117
hematocrit, other fluid other body fluid|hematocrit, otherfluid flui body other percent|factor xi blood
cd23 bood|cd23 bloo|granular casts urine
hemogloblin elp blood s|hemogloblin s blood|schistocytes bod
estradiol blood|bld estradil|glucose, csf cerebrospinal fluid (csf)
hmatocrit, csf fuid cerebrospinal (csf)|spec hematocrit, cerebrospinal fluid cerebrospinal (cerebrospinal fluid) fluid|calcium, total blood
pr urine fat bodies urine|urine fat bodies urine point in time|cd45 bone marrow
polychrmasia lm bld|polycromasia blo|protein urine
blood hla-dr|hla-drbood|bonemarrow cd64
body other cd5 fluid|cd5 other body fluid|fagilityblood osmotic
prolactin blood|bld prolactin|lymphocytes ascites
wbc, other fluid other body fluid|wbc, othe luid oter body fluid|metamyelocytes blood white blood cells
cd33 oher boy fluid|cd33 fluid body other|hemosiderin urine
rbccasts urine|r rne casts|blood cd15
eosiophilspleural|eosinophils pleural|oxygen saturation blood
po2, body fluid other boy flud|o2, body fluid qnt oth body fli|fctor  lod
o2, body fluid qnt oth body fli|p2, flid fuidother body body|amphetamne amph urineurie screen,
wbc, csf cerebrospinal fluid (csf)|wbc, csf (csf) fluid cerebrospinal|cd14 marrow bone
creatinine, ascites ascites|aciesasites creatnine,|alveolar-arterial blood gradient
tyroine crystls ri|crystals tyrosine urine|arrow one d33
cd45 marrow bone|cd45 bone marrow|bilirubin, point in time pleural total, pleural
blood urine|urine blood|blood basophils
hemoglobin fetal hematology/cell counts bld|fetal hemoglobin blood|urine phospate, urine
blood c hemoglobin totl|hgb c hemolobi c blood|osmolality osmolality, urine urine
bansblod|bands whole bld bld|sodium, whole bld quantitative bld
blood vii factor|actor vii blood|blood mchc
24 hr calcium urine|24 hr calcium urine ur|uric acid rysals uri
blood carboxyhemoglobin|universallaborders blood carboxyhemoglobin|heumatoid factorlood
lood nitrogen urea serpl|urea nitrogen blood|cd16/56 blood
blood cd117|cd117 bloo|joint amylase, fluid joint fluid
hmatocrit, csf fuid cerebrospinal (csf)|hematocrit, csf cerebrospinal fluid (csf)|carcinoembyronic blood (cea) antigen
glucose, body fluid other body fluid|glucose, body fluid other body fluid|thrombin blood
cerebrospinal csf pep, fluid (csf)|pep, cerebrospinal csf fluid (csf)|eosiophil joint fli
urobilinogen urine|urobilinogen urine random|bo cd11 marow
qualitative acnhocytes blood|acanthocytes blood|hla-drlood
factor vii blood|blood vii factor|wbc urine
ph other body fluid|ph other body fluid|cd14 blood
cd138 blood|blood cd138|random mch bld
protein/creatinine urine ratio|protein/creatinine ratio urine|fluid joint monocytes
anisotosi hematology/cell counts blood|anisocytosis whole bld bld|cholesterol ratio (total/hdl) bld
blood cd22|cd22 blood|sex shbg hormone globulin binding blood
cd1c blood|blood cd11c|glucose, csf glucoseur cerebrospinal (csf) fluid
creatinin, joint flui jointfuid|creatinine, joint fluid joint fluid|eosinophils luid cerebrospnal (cerebrospinal fluid)
bilirubin, indirect blood|idirectblood bilirubin, hepatology|screen porphobilinogen urine
c4 bone arrow|d4 arro bone|cd3 other fluid body
fluid cerebrospinal myelocytes (csf)|myelocytes cerebrospinal fluid (csf)|urne spem
total protein, fluid joint joint fluid|total proten, joint flu jointfluid jint lui|iga transglutaminase ab, tissue blood
urea nitrogen blood|nitrogen urea blood|blood urine
teardrop cells blood|bood cells teardrop|mglobin, random urine ure
creatinine, pleural pleural pleural|thoracentesis fluid creatinine pleural pleura|ammoium biuate urin
urine ph|urine ph|r rne casts
24 hr ua creatinine urine|24 mrate hr cretinie urine|alpha amylase pleural amylase, pleural
pencil cells blood|pencil qual blood cells|chlorid, stool sool
myelocytes qnt blood|myelcytes blood quant|spercytesblood pr
carboxyhemoglobin blood|blood carbonyl hgb carboxyhemoglobin|c3 blood comp
phosphate, body fluid bf other body fluid|phosphate, body fluid other body fluid|c-reactive qnt protein blod
osmolality osmolality, urine urine|osmolality, urine ur urine|ilirin cryals uine
bilirubin, total, ascites ascites|total, bilirubin, ascites ascites|cd45 bone marrow
heatitis vius igm antibody blood hav|igm screen a virus hepatitis antibodyblood|pleural percent polys
c3 blood comp|c3blo|red bld corpuscle blod hematocrit
protein s, antigen blood|s, protein antigen blood|hepatitis b surface antigen blood
joinfud eosinophils white blood cell|eosiophil joint fli|factor blood xiii
phenytoin, percent free blood|phenytoin, free percent blood|tyroine crystls ri
cd13 fluid body other|cd13 other body fluid|mesothelial cells csf cell (csf)
red bld corpuscle blod hematocrit|blood hematocrit quant|cd16/5 blood
c7 bo marrow|cd7 bone marrow|nrbc cerebrospinal fluid (csf)
blood gentamicin|blood point in time gentamicin|suds anti-nuclerantibodybloo
polycromasia blo|polychromasia blood|macoovalocyts blood
urine ph|urine ph|lactate dehydrogenase, ascites ascites l-lactate dehydrogenase
bld rapamyin|bld apamycin bld|inr(pt) blood
blood cd64|lood cd64|urine rbc
ascites lymphocytes|ascites lymphocytes leukocyte|urea nitogen, urineuine random
osmolality, body fluid other body fluid|osmolality, body luid bod other body fluid|serplas glucose blood
ammonium urine biurate|ammoium biuate urin|chloride, stool stool
cd10 other body fluid|cd10 other bod fluid|immunoglobulin a bld plsm
fetal hemoglobin haemoglobin bld|hemoglobin fetal hematology/cell counts bld|atypical lymphocytes other body fluid
smllity, urineurine|osmolality, urine urine|cd38 other body fluid
b hepatitis surface antibody sr bld|hepatitis b surface antibody blood|joint fld macropha joint fluid
wbc urine|wbc urine|bld auto monocytes
blood dhea-sulfate|lod dhea-sulate|c, protein antigen blood
a immunoglobulin blood|immunoglobulin a bld plsm|cd13 flid body other
total chemistry protein, pleural pleural|pleural protein, pleural pr total|blasts cerebrospinal fluid (csf)
platelet smear blood|platelet smear blood|digoxin blood
cd59 blood|cd9 blood|blood dhea-sulfate
drugs of abuse methadone, urine urine|methadne,urine urie drugs|pg body other fluid
pleural albumin, pleural|abumin, pleural plurl|bicaroate blood
benzodiazepine screen blood|benodiazepine screen blood|cholesterol, body fluid other body fluid
blood glucose|wb glucoseblood|von blood factor activity willebrand
ph boy ohr bodies fluid|phothr fluid body|lactate blood
creatinine, joint fluid joint fluid|creatinine, joint fluid joint fluid|abumin, pleural plurl
renal epithelial cells urine|renal epithelial urine cells|estimatedfr (mdrdeqution) blood
albumi, bdy fluid quantitative other bodyfluid|albumin, body fluid other body fluid|anti-neutrophil cytoplasmic antibody blood
waxy urine casts|waxy casts urine|xii factor blood
blood ptt|pttblod|24 hr urine ua protein
glucose, body fluid other body fluid|body glucose, fld fluid other body fluid|hla-drbood
albumin, urine quan urine|albumin, urine urine|factor blood xi
anisocytosis blood|anisotosi hematology/cell counts blood|cell pasma ascites
blood serpl potassium|blod ptassium|barbiturate screen blood
abs blasts bld|blasts blood|bilirubin, fluid body fluid other body total,
hemogloblin elp blood s|hemogloblin s blood|blood fmc-7
count cd4 absolute blood|absolute cd4 count blood|phosphate calcium crystals urine
chloride, ascites ascites|quantitative ascites chloride, ascites|ammonium urine biurate
basophils other body fluid|basophils other fluid body|quan blood promyelocys
bone cd13 marrow|cd13 bone marrow|pleural pleural chloride,
osmotic fragility blood|fagilityblood osmotic|urea nitrogen, body fluid other body fluid
esothelial cell clls joint fluid|mesothelial fluid joint cells|eosinophils cerebrospinal fluid (csf)
ascites basophils|ascites basophis|plasma cerebrospinal fluid (csf)
ii factor blood|factor ii blood|spherocytes blood
polys pleural|pleural percent polys|cd4/cd ratio other bod fluid
ctco2 alculated total co blood|co2 total calcuated bood|blood centromere serology
pappenheimer bodies blood|pappenheimer ql bodies bld|acto blood xii
fluid other body cd13|cd13 other body fluid|total protein, urine urine
creatinine, joint fluid joint fluid|creatinine, joint fluid joint fluid|plurl wbc, abs pleural
basophils blood|basophils bld elect|xii factor blood
blood poikilocyosis|poikilocytosis blood|bands joint fluid
estimated gfr (mdrd equation) blood|estimatedfr (mdrdeqution) blood|stool stool chloride,
factor xii blood|xii factor blood|carbamazepine blod qnt
random sedimentation rat lood|sedimentation blood qnt rate|blood autoantibodies peoxidse antibodies thoid
factor ix blood|ix factor blood|sodim blood serum
fluid other bdy macrophage|macophage other body lud|fctor  lod
blood carbonyl hgb carboxyhemoglobin|blood carboxyhemoglobin|musleantibody serology antsmoth blood
benodiazepine screen blood|drugs benzdiazepne creen blood|fluid body sodium, other body fluid
sodium, ascites ascites|ascites ascites sodium,|protein, total blood
sickle cells blood|sicke bloo micro cels|theophylline blood
bld albumin mass concentration|albumin blood|dehydrogenase, lactate ascites ascites
h/o smearblod|h/o sear blod|lactate l-lactate blood
cd11cbone marow|marrow bone cd11c|hepatitis b surface antigen blood
eosinophils leuc ascites|eosinophils ascites|theophylline blood
urne appearance urine|urine appearance urine|anti-gliadin abs antibody, iga blood
cd45 bone marrow|cd45 marrow bone|eectohoresis, prot. urine urne pr
(cf) cerebrospinal white blood cell fluid blasts|blasts cerebrospinal fluid (csf)|spec hematocrit, cerebrospinal fluid cerebrospinal (cerebrospinal fluid) fluid
cratinineblood|creatinine bld|triglycerides blood
pencil qual blood cells|peciclls pt blod|cd117 bloo
anticardiolipin antibody igm blood|anticardiolipinantibody m blood|cd45 bone marrow
qual hepatitis a bld igm antibody virus|antibody a virus igm hepatitis blood|broad casts uine
bsophic tippling blood|basophilic stippling blood|urine total volume, urine
lactate blood|substance concentration lactate blood|factor xiii blood
lymphocytes ascites|ascites lymphocytes|sodium, stool stool
cd23 bone marrow|bon cd23 marow|cd117 blood
pttblood|blood ptt|anti-nuclear antibody blood
hemogloin f blood|hemoglobin f blood|amorphous crystals urine
protein blood antigen c,|antigen c, protein blood|fetal hemoglobin blood
carcinoembyronic antigen (cea) blood|carcinoembyronic blood (cea) antigen|cd56 other fluid body
ascites ascites sodium,|sodium, ascites ascites|cd16/56 marrow bone
po2, body fluid other boy flud|other body fluid po2, body fluid|amylase, body fluid bf other body fluid
bands joint fluid|flui joit bands|creatn quan kinase (ck) blood
urine bilirubin|urie biirubin|cholesterol ratio (total/hdl) blood
chloride, ascites ascites|chloride, ascites ascites|cd3 body other fluid
ascitic fluid creatiie, asctes ascites|ascites creatinine, ascites|factor iii ihbtor blood
ck-mb index blood|blood point in time index ck-mb|albumi, bdy fluid quantitative other bodyfluid
calculated fr free testosterone blood|re tetosterone, boo non-protein bound|asites plasma
cd7 other body fluid|cd7 fluid body other|hemogloblin s blood
hemoglobin blood|bood hemoglobin|eosinophis eosinophil other body flid
barbiturate scrn blod|barbiturate blood screen|po2 bld
urine blood|blood urine|basophils blood
acid uric blood|urc blood acid|ascites ascites osmolality,
total prtein,joint fluid joifuid|toal protein, flud fluid join join|myoglobin, urine urine
(csf) crebrospinal flui ypersegntedneutrophils|hypersegmented neutrophils cerebrospinal hematology/cell counts fluid (csf)|cd13 flid body other
bicarbonate, ascites ascites|bicarbonate, ascites ascite|bld cryoglobulin
(csf) cerebrospinal fluid nrbc|nbc cerebrospnal sf) fluid|random phosphate, body fluid other body fluid
myelocytes qnt blood|myelocytes blood|bone cd13 marrow
mch blood|random mch bld|tyroine crystls ri
cd16 blood|blood cd16|urine yeast
howell-jolly bodies blood qualitative|howell-joll bodis bld|acetone blood
urine urinmucos|mucous urine urine|creatinine, joint fluid joint fluid
bicarbonate, urine urine|urine bicarbonate, urine|cd14 blood
basophils blood|basophils bld elect|leuk atypcal lymphcyts joit fuid
blasts blood|blasts bld|dhea-sulfate blood quant
urobilinogen urine|urbilinoen urine|mesothelial cells lkcs other body fluid
hiv antibody blood|antby blood antibody hiv|total proten, joint flu jointfluid jint lui
bone cd59 marrow|cd59 one arow|urine glucose, urine
blood factor qnt rhematoid|blood meia factor rheumatoid|pleural total, pleural bilirubin, pleural fluid
cd19 bonemarrow|cd19 bone marrow|synovial fluid creatinine, joint fluid joint fluid
cellsblood blood erythrocyte red|red blood cels blod|blood magnesium random
blood monocytes|bld auto monocytes|ck-mb index blood
cd64 mrrw bon|marrow bone cd64|cd8 fluid body other
eosinophis eosinophil other body flid|eosinophils other body fluid|ld, fluid body other body fluid
bld endocrine glucose|blood glucose|blood count platele number concentration
body other cd138 fluid|cd138 body other fluid|ph boy ohr bodies fluid
albumin, body fluid other body quan fluid|albumin, body fluid other body fluid|urine ketone
glucose blood|glucose blood|amylase, body fluid other body fluid
totl ollection time urine|total urine time collection|sodium blood
pleural percent polys|polys thoracentesis fluid pleural|magnesium, quant urine urine
blood ntprobnp plasma|ntprobnp blood|urine yeast
protein s, functioal bloo|s, protein functional blood|universallaborders blood potassium
ascites ascites osmolality,|osmolality, ces ascites|body mylase, flui otherbodyfuid
bands fluid boy other|bads flui bdy other|urine bacteria
cd13 lood|cd13 blood|urie wbc
antien factor vonwillebrand blod|vn willerand fctr antien blood|creatinine, pleural pleural pleural
barbiturate screen, urine urine|barbiturate urine urine screen,|fetal hgb f hemoglobin bld
cd138 blood|blood cd138|monos leural
body other cd23 flid|cd23 other fluid body|epithelial cells urine
imunofiaion blood serplas|random immunofixation blood|factor viii blood inhibitor
glucose, body fluid other body fluid|glucose, body fluid other body fluid|anisocytosis blood whole blood
heumatoid factorlood|rheumatoid factor blood|hepatitis a virus antibody blood
plasma folateblood|blood vitamin m folate|cholesterol urine crystals
cd16/5 blood|blood d16/56|mch blood
cd4 bone marrow|marrow bone cd4|cholesterol, body fluid other body fluid
c-reactive protein blood|c-reactive blood protein|xii factor blood
fluid body sodium, other body fluid|sodium, body fluid other body fluid|anti-tyroglobuli antibodies blood quant
rbc urine|urine rbc|reticulocyte count, automated blood
immoglobulin m blood|immunoglobulin m blood qnt|hepatits c virus antibodblod
plasma ascites|asites plasma|screen, addiction opiat urine urine
free calcium blood|substance concentration ree blood calcium|urne amph cren rine amphetamine
oxge blood|oxygen blood|blood po2
cell pasma ascites|plasma ascites|yong cells blood
fetal hgb f hemoglobin bld|fetal hemoglobin blood random|urine sperm
anti-tyroglobuli antibodies blood quant|anti-thyroglobulin antibodies blood|basophils fluid joint
body other ph log molar concentration fluid|phothr fluid body|urine crystals, urine other
fluid cerebrospinal lymphs (cerebrospinal fluid) wbc|lymphs cerbrospinal fluid (csf) white blood cell|urne other urinecass
bilrbin, indiet blood|bilirubin indiret blood|blod auto hemaocrit
blood quant ntprobnp|ntprobnp bld|mnocytes bod
protein urine|protein urine|maroovalocytes blod micros
granulocyte count blood|quantitative coutblood granulocyte|osmolality, body fluid other body fluid
atypical lymphocytes other body fluid|atypical lymphocytes other body fluid|cd16/56 other body fluid
cd7 bone marrow|arrow bone c7|elect blood mchc
blood monocytes|mcytes blood|atypical lymphocytes fluid body other
protein antigen s, blood|s, protein antigen blood|myoglobin, urine urine
von blood factor activity willebrand|willebrand von factor activity blood|point in time esinophil cerebrospial fluid (sf)
24 hr urine creatinine|24 hr creatinine urine|ascites plasma
anti-thyroglobulin antibodies blood|antibodies anti-thyroglobulin blood|volume urine urine
pencil cells blood|peni clls blood blood|polys cererospial luid (csf)
blod bicarbonte, wole calulated blood|calculated bicarbonate, whole quantitative bld bld|rbc, ascites ascites
blood cells bite whole blood|blood cells bite|blood promyelocytes
thrombin blood|blood thrombin|mass fraction absolute a1c blood
fetal hgb f hemoglobin bld|hemoglobin fetal hematology/cell counts bld|pleural pleural albumin,
screen, benzodiazepine urine urine|benzodiazepine pr screen, rine urie|cd41 fluid body other
joint fld macropha joint fluid|joint macrophage fluid|c-reactive protein blood
bicarbonate, ascites ascite|bicarbonate, ascites ascites|oxyge lood saturation respiratory
poikilocytosis blood|poikilocytosis blood|blood cd64
cd13 bone marrow|bone cd13 marrow|sperm urine
osmic fragliy blood red blood cells|hematology/cell counts osmotic blood fragility|base excess blood
(csf) crebrospinal flui ypersegntedneutrophils|random hypersegmented neutrophils cerebrospinal fluid (csf)|immunoglobulin m bld
rbc, ascite absolute ascites|abs rbc, ascits ascite|hematocrit, volfr calculated blood
phenytoin drugs blood|phenytoin lood|mnocytes fluid joint
gamma glutamyltransferase blood|glutamyltransferase gamma blood|cd16/56 bone marrw
othe body fluid sodum, boy flid|bod sodium fluid fluid ohr body boy|atypical lymphocytes cerebrospinal fluid (csf)
universallaborders blood carboxyhemoglobin|carboxyhemoglobin blood|bands other body fluid
holestro, ody othe fuid body fluid|cholesterol, body fluid other body fluid|urn amphetamine screen, urine urine
blood meia factor rheumatoid|rheumatoid factor bld quant|glucose, csf cerebrospinal fluid (csf)
blood inr(pt)|blood inr(pt)|atypical lymphocytes cerebrospinal fluid (csf)
cell mesothelial ascites|acites cell mesothelil|h/o smear blood
marrow bone cd13|cd13 marrow bone|other cd16/56 body fluid
serp hdl cholesterol, bld|cholesterol, hdl blood|cd3 cells, percent blood
marrow bone cd23|cd3 oe mrrow|othe itroen, body fluid fluid urea body fluid
creatinine, body fluid other body fluid|creatinine, boy fluidther body fluid|urea urine urine nitrogen,
po2, body fluid other body fluid|o2, body fluid qnt oth body fli|albumin, asci asctes
blood inr(pt)|blood inr(pt)|ii factor blood
tissue tansglutaminase ab, iga bld protein-glutamine gamma glutamyltransferase|iga transglutaminase ab, tissue blood|ptassium, point in time whole blood blood
sickle cells blood|sicke bloo micro cels|body other cd56 fluid
pltelet smar bld ct|platelet smear blood|urine, hcg, qual urine
rbc uine|urine rbc|methadne,urine urie drugs
other hematocrit, fluid other body fluid|hematocrit, other body other fluid fluid|fctor  lod
urine ph|ph urine|total proten, joint flu jointfluid jint lui
calculatedbicabonate,whole bood blood|calculated biarbonate, whle bloo random blood|uric sr acid blood
cerebrospinal csf pep, fluid (csf)|pep, cerebrospinal csf fluid (csf)|cd23 bood
metamyelocytes blood white blood cells|bod metamyeocyts|igm screen a virus hepatitis antibodyblood
polys other body fluid|body he polys fluid|factor ii blood
fluid other body cd10|cd10 other body fluid|theophylline blod
blood parasite smear blood|blood parasite smear blood blood|hepatitis a virus igm antibody blood
blasts cerebrospinal fluid (csf)|blasts cerebrospinal fluid (csf) spinal fl|salicylate blood
c4 blood|blod quan c4|hematocrit urine
microcytes blood|blood microcytes|reticulocyte count, absolute bood
pltelet smar bld ct|platelet smear blood|r casts urin
creatinine, joint fluid joint fluid|creatinine, joint fluid joint fluid|pleural polys
h/o smearblod|blood smear h/o|anti-parietal cell antibody blood
antibodieblood anti-thyroglobul|anti-tyroglobuli antibodies blood quant|fmc-7 other body fluid
cortisol blood|cortisol blood|blasts blood
young young platelets cells blood|young cells blood|reticuloct automated coun, red bld corpusles blo
bld flow o2|flow o2 clin blood|cholesterol, body fluid other body fluid
blood ph|ph blood|beta-2 microglobulin beta2 glob bld
platelet smear blood|platelet smear # blood|magnesium, quant urine urine
stoolstool bicaronte,|bicarbonate, stool stool|heatitis vius igm antibody blood hav
random phosphate, body fluid other body fluid|phosphate, body fluid other body fluid|b hepatitis surface antibody sr bld
blood theophylline|theopylline bloo|urbilinoen urine
blood lymphocytes|lymphocytes absolute bld|urie marijuana drugs
creatinine bld|creatinine blood|phenytoin, percent free blood
chemistry gatrinblood|gastrin blod|alveolar-arterial gradient blood
thrmbin bood|blood thrombin|blood lymphocytes
osmotic fragility blood|osmic fragliy blood red blood cells|urine crystals, urine other
fetal hemoglobin blood random|hemoglobin fetal hematology/cell counts bld|amylase, joint fluid joint fluid
random phosphate, body fluid other body fluid|phosphate, body fluid bf other body fluid|broad casts urine
blood inr(pt)|r(pt) ood|protein antigen s, blood
wbc, csf (csf) fluid cerebrospinal|wbc,csf cerebrospinal lud (sf)|universallaborders blood potassium
red blood cells blood number concentration|cellsblood blood erythrocyte red|cd14 body other fluid
calculated free testosterone blood|calculated fr free testosterone blood|urea urine urine nitrogen,
pleural pleural chloride,|pleural pleural chloride,|mesothelial cells other fluid body
creatinine, pleural pleural|thoracentesis fluid creatinine pleural pleura|xiii factor blood
marrow bone cd13|cd13 marrow bone|schistocytes blood
reticulocyte rbcs blood manual count,|reticulocyte red cell count, blood manual|sickle cells blood
o2, body fluid qnt oth body fli|po2, body fluid other boy flud|ii factor blood
lymphocytes absolute bld|blood lymphocytes|alpha-feooteinblood tumor marker
marrow bone cd103|cd103 bone marrow|lood nitrogen urea serpl
ctco2 alculated total co blood|total calculated co2 blood|blood inr(pt)
immunofixaton, urine narrative urine|urine urine immunofixation, interp|prot. electrophoresis, urine urine
barbiturate screen, ure urie|barbiturat screen, uine urie|thyroxin blod t4)
cd11c fluid body other|cd11c oter fld boy|blood ql anidepessant screen tricycli
blood factorvii|factor vii blood|cd45 blood
hormone sr sex biing gobulin blood|sex hormone binding globulin blood|von willebrand factor activity blood
protein/creatinine ratio urine|protein/creatinine raio uine quan|hemogloblin elp blood s
urine sperm|sperm urine|gastrin blod
pg other fluid boy|pg body other fluid|blood screen benzodiazepine
cd41 blood|blood cd41|urine leukocytes
blood saturation oxygen|oxyge lood saturation respiratory|hg urin, qualitatie urine
qnt mcv bo|mcv blood|plasma folateblood
blood d-dimer|blood d-dimer|anti-thyroglobulin antibodies blood
follicle hormone stimulating blood|hormoneblod follclestmlatin|blood antithrombin
cd4/c8 atio oer bodyflid|cd4/cd ratio other bod fluid|lkcs plas cels blood
o2, body fluid qnt oth body fli|other body fluid po2, body fluid|acanthocytes blood
blood viii factor|factor viii bloo|fld quantitative nitrogen,body urea other bodflid
pleural total, pleural bilirubin, pleural fluid|bilirubin, total, pleural pleural|urine ph
irect biliubin, bld|bilirubin,drect blod|glucose, csf cerebrospinal fluid (csf)
cd4 cells percent blood|blood cells, percent cd4|barbiturate blood screen
anti-neutrophil cytoplasmic qualitative antibody blood|cytoplasmic anti-neutrophil antibody blood|urea nitrogen, bodyfluid other body fluid
factor xiii blood|factor blood xiii|factor ii bood
pleuralpleural quant amyas,|diastase amylase, pleural pleurl|absolute cd4 count blood
red blood cells blood number concentration|red bld cells bld|urine cast hyalin
calcium, body fluid body other fluid|calcium, body fluid other body fluid|screen, benzodiazepine urine urine
calcium, body fluid body other fluid|calcium, body fluid body other fluid|cd41 blood
lmphocytes, perent wb bld|lymphoctes, percent blo|factor viii blood inhibitor
anisocytosis blood|anisotosi hematology/cell counts blood|bone cd13 marrow
exs bld excess base|base excess blood|aophous crysals urine
c10 bone marow|cd10 ne marrow|alcium, bood total
uic acidcrystal urie|uric acid crystals urine|cd14 marrow bone
hemogloblin a blood|heogoblin a blood|urine blood
pleural total, pleural bilirubin, pleural fluid|pleural total, bilirubin, pleural|urinevolume, total rine
c3blo|c3 blood|blod immunoglobuling
white blood wb cells blood|white bld cells bld|cd11cbone marow
ntprobnp blood|ntprobnp bld|polys cerebrospinal fluid (csf)
barbiturate screen, urine urine|barbiturate urine urine screen,|fluid otherbody otassium
hemogloblin elp blood s|s hemogloblin blood|sedimentation rate blood
urie cst hyaline|hyaline casts urine|blood qnt quinidine
poikilocytosis blood|bood poikilocyosis|ascites alb albui,acites
promyelocytes blood|quan blood promyelocys|urine yeast
arbitrary concentration thyroid stimulating hormone blood|hormone throidstimulating loo serum|anti-mitochondrial antibody blood
hematocrit urine|urine hematocrit ur|promyelocytes blood
creatinine uine clearance quant|clearance creatinine urine|fmc-7 blood
blood etamyelocyes|bod metamyeocyts|nrbc csf (csf)
calculated biarbonate, whle bloo random blood|calculated bicarbonate, whole blood blood|urine blood
blood acantocytes acanthocyte|qualitative acnhocytes blood|count cd4 absolute blood
polys other body fluid|body he polys fluid|dhea-sulfate blood quant
po2, chemistry body fluid otr boy luid|bod pco2, body fluid other body fluid|von willebrand factor activity blood
urine ketone|ketne urie|level urea nitrogen blood
oxyge lood saturation respiratory|saturaton oygn lood quant|estimated blood (mdrd equation) gfr
crystals amorphous urine|crystals amorphous urine|body glucose, fld fluid other body fluid
hyalin cats uine|hyaline casts urine|ascites polys ascitic fluid
triglycerides, chemistry ascites ascites|ascites mass concentration triglycerides, ascites|hemoglobin fetal hematology/cell counts bld
creatinine, joint fluid joint fluid|creatinin, joint flui jointfuid|osmolality, urine urine
screen, ql amphetamine urine urine|amphetamine screen, urine urine|other type fluid body fluid
spinal fluid <albumin> ceebrospinl fuid (csf)|<albuin>cerebrospinafluid(cerebrospinal fluid) cerebrospinal fl|hla-drbood
abs blasts bld|blasts blood|benzodiazepine screen, urine urine
