LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2,SCALE_TYP
55070-7,insurance billing,,,pan; panel; panel.survey.cms; panl; pnl; point in time; random; survey,-
55071-5,insurance case mix - rug group,,,nominal; point in time; random; resource utilization groups; survey; typ,Nom
55084-8,other special treatments and programs in last 14 days,,,other special txs and programs in last 14d; othr; pan; panel; panl; past; pnl; point in time; random; special txs and programs in last 14d; survey; survey.mds; tx; txs,-
55086-3,cancer treatments in last 14 days,,,cancer txs in last 14d; pan; panel; panl; past; pnl; point in time; random; survey; survey.mds; tx; txs,-
55090-5,cd3-cd56+ cells/cells in blood,cd3-cd56+ cells nfr bld,cd3-cd56+ cells/cells (bld),blood; cd3 cells; cd3+cd56+ cells; cd3-cd56+ cells; cell; cell markers; cellularity; leu19; leu-19; leu4; leu-4; natural killer cells; ncam; neural cell adhesion molecule; nkh1; number fraction; percent; point in time; qnt; quan; quant; quantitative; random; t3; wb; whole blood,Qn
55098-8,parainfluenza virus 2 [presence] in specimen by organism specific culture,hpiv2 spec ql cult,parainfluenza virus 2 org specific cx ql (specimen),c&s; cult; cultures; hpiv; hpiv2; human rubulavirus 2; id; ii; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; ordinal; other; para; parainflu; parainfluenza type 2; parainfluenza type ii; pi2; point in time; pr; ql; qual; qualitative; random; screen; spec; to be specified in another part of the message; unspecified,Ord
55110-1,conclusions [interpretation] document,conclusions imp doc,,doc.misc; document; impression; impression/interpretation of study; impressions; interp; interpretation; misc; point in time; random,Doc
55121-8,multiple sclerosis panel - serum and csf,ms pnl ser+csf,multiple sclerosis panel (s+csf),both serum and cerebrospinal fluid; cerebral spinal fluid; cerebrospinal fl; chemistry; ms; ms pnl; mult; multi; neuro; neurology; pan; panel.chemistry; panl; pnl; point in time; random; serum; spinal fl; spinal fld; spinal flu; spinal fluid; sr,-
55129-1,physical restraints used in bed,,,pan; panel; panl; pnl; point in time; random; survey; survey.mds,-
55134-1,influenza virus a neuraminidase rna [identifier] in isolate by naa with probe detection,fluav na rna islt naa+probe,fluav na rna naa+probe nom (isol),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; avian influenza; bird flu; dna nucleic acid probe; dna probe; flua; fluav; fluav na; fluv; fowl plague; id; identity or presence; infectious disease; infectiousdisease; influ; influenza a; influenza a virus; islt; isol; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; na; naa+probe; naat; nasba; nominal; nucleic acid sequence based analysis; pcr; point in time; polymerase chain reaction; probe amp; probe with ampification; probe with target amplification; qbr; random; ribonucleic acid; sda; strand displacement amplification; tma; transcription mediated amplification,Nom
55150-7,anaplasma phagocytophilum igg and igm panel - serum qualitative,a phagocytoph igg+igm pnl ser,a. phagocytophilum igg and igm panel ql (s),a phagocytoph igg+igm pnl; e equi; e phagocytophila; ehrlichia equi; ehrlichia phagocytophila; hge; human granulocytic ehrlichiosis; id; immune globulin g; immune globulin m; immunoglobulin g; immunoglobulin m; infectious disease; infectiousdisease; microbiology; ordinal; pan; panel.microbiology; panl; pnl; point in time; ql; qual; qualitative; random; screen; serum; sr,Ord
55151-5,aldosterone and renin activity panel - plasma,aldosterone + ra + arr pnl plas,aldosterone and renin activity panel (p),activ; actvty; aldosterone + ra + arr pnl; angiotensin forming enzyme; angiotensinogenase; chemistry; endocrine; endocrinology; movements; pan; panel.chemistry; panl; pl; plasma; plsm; pnl; point in time; qnt; quan; quant; quantitative; random; universallaborders,Qn
55154-9,ethambutol+rifampin [susceptibility] by method for slow-growing mycobacteria,ethambutol+rifampin islt slowmyco,ethambutol+rifampin method for slow-growing mycobacteria [susc],afb; antibiotic susceptibilities; ast; c301; etambol; ethamb; id; inagen; infectious disease; infectiousdisease; islt; isol; myambutol; myco; mycobacteria susceptibility; mycobacterial susceptibility; mycobutol; olbutam; point in time; random; rif; rifadin; rifampicin; rimactane; slowmyco; sus; suscept; susceptibilities; susceptibility; susceptibilty; tb; tuberculosis,OrdQn
55155-6,flunitrazepam and 7-aminoflunitrazepam panel [mass/volume] - urine,flunitrazepam+7amino pnl ur-mcnc,flunitrazepam and 7-aminoflunitrazepam panel (u) [mass/vol],7-amino flunitrazepam; 7aminoflunitrazepam; darkene; drug/toxicology; drugs; flunitrazepam metabolite; flunitrazepam+7amino pnl; hypnodorm; hypnor; level; mass concentration; narcozep; noriel; pan; panel.drug & toxicology; panl; pnl; point in time; qnt; quan; quant; quantitative; random; rohipnol; rohypnol; roipnol; ua; ur; urn; valsera,Qn
5516-0,deprecated cd66a cells/100 cells in blood,deprecated cd66a wbc-acnc,cd66a qn (wbc),arbitrary concentration; bgp; biliary glycoprotein; cell markers; leukocytes; nca-160; point in time; qnt; quan; quant; quantitative; random; wbcs; white blood cells,Qn
55161-4,bordetella pertussis iga and igg panel - serum by immunoassay,b pert iga+igg pnl ser ia,b. pertussis iga and igg panel ia (s),b pert; b pert iga+igg pnl; b pertussis; eia; elfa; elisa; enzyme immunoassay; iaa; id; immune globulin a; immune globulin g; immunoglobulin a; immunoglobulin g; infectious disease; infectiousdisease; meia; microbiology; pan; panel.microbiology; panl; pertussis; pnl; point in time; qnt; quan; quant; quantitative; random; serum; sr; suds; whooping cough,Qn
55163-0,streptococcus pyogenes enzyme ab panel - serum qualitative,s pyog enzyme ab pnl ser,s. pyogenes enzyme ab panel ql (s),enz; enzymes; gas; group a strep; id; infectious disease; infectiousdisease; microbiology; ordinal; pan; panel.microbiology; panl; pnl; point in time; ql; qual; qualitative; random; s pyog enzyme ab pnl; s pyog.enz; s pyogenes; screen; serum; sr; steptococcus group a; strep; strept; streptococci group a; streptococcus group a; streptozyme,Ord
55165-5,echinococcus sp igg4 ab [presence] in serum,echinococcus igg4 ser ql,echinococcus sp igg4 ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; echinococcosis; id; infectious disease; infectiousdisease; microbiology; ordinal; p2; point in time; pr; ql; qual; qualitative; random; screen; serum; species; spp; sr,Ord
55178-8,calcium phosphate crystals [presence] in specimen by light microscopy,ca phos cry spec ql micro,calcium phosphate crystals lm ql (specimen),ca; ca phos; ca phos cry; cal; cap; crys; cryst; crystal; i phos; inorganic phosphate; lm; micro; micros; microscopic; misc; miscellaneous; ordinal; other; phos; phosphate total; phosphorous; phosphorus; phosphrous; pi; po4; point in time; pr; ql; qual; qualitative; random; screen; spec; to be specified in another part of the message; unspecified; urinalysis,Ord
55179-6,sodium urate crystals [presence] in specimen by light microscopy,na urate cry spec ql micro,sodium urate crystals lm ql (specimen),crys; cryst; crystal; lm; micro; micros; microscopic; misc; miscellaneous; monosodium urate; na; na urate; na urate cry; na+; nau; ordinal; other; point in time; pr; ql; qual; qualitative; random; screen; spec; to be specified in another part of the message; ua; unspecified; urates; uric acid; urinalysis,Ord
55180-4,human epididymis protein 4 [moles/volume] in serum or plasma,he4 serpl-scnc,human epididymis protein 4 [moles/vol],chemistry; endometrial cancer; gyn; gynecology; he4; level; ob; obgyn; obstetrics; ovarian cancer; pl; plasma; plsm; point in time; pr; prot; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration; tumor marker; universallaborders; wap four-disulfide core domain protein 2,Qn
55182-0,quality reporting document architecture incidence report document,,,document; finding; findings; point in time; qrda; qrda incidence report; random; survey; survey.qrda,Doc
55192-9,chromosome analysis.interphase [interpretation] in amniotic fluid by fish narrative,chrom analy interphase amn fish-imp,chr analysis.interphase fish nar (amn fld) [interp],af; amn; amn fl; amnio; amniotic flu; amniotic fluid; chrom analy; chrom analy interphase; chromosom; chromosomes; cytogenetics; fluorescent in situ hybridization; genetics; gyn; gynecology; heredity; heritable; impression; impression/interpretation of study; impressions; inherited; interp; interpretation; karyotype; molecular pathology; molpath; narrative; ob; obgyn; obstetrics; point in time; random; report,Nar
55216-6,physical assault on exposed person involving blood or semen,assault involving bld or semen,,assault involving bld or semen; finding; findings; nominal; persons; point in time; public health; publichealth; random,Nom
55220-8,asialoglycoprotein receptor ab [units/volume] in serum,asgpr ab ser-acnc,asialoglycoprotein receptor ab qn (s),abs; aby; antby; anti; antibodies; antibody; arbitrary concentration; asgpr; autoantibodies; autoantibody; hepatology; liver; point in time; qnt; quan; quant; quantitative; random; rec; recept; receptors; recp; recptr; serology; serum; sr,Qn
55236-4,hba2 gene alpha 4.2kb deletion [presence] in blood by molecular genetics method,hba2 alpha 4.2kb del bld ql,hba2 gene alpha 4.2kb del molgen ql (bld),"alfa; alpha thal; alpha thal 2; alpha thal 2 (- alpha^4.2 deletion); alpha thalassemia; alpha-2 globin; arbitrary; blood; del; deletions; hba2 alpha 4.2kb; hba2 gene alpha 4.2 deletion; hba-t2; hbh; hemoglobin, alpha 2; molecular genetics; molecular pathology; molpath; molpath.deletions; ordinal; pcr; point in time; ql; qual; qualitative; random; screen; wb; whole blood",Ord
55239-8,hbb gene c.441_442insac [presence] in blood by molecular genetics method,hbb c.441_442insac bld ql,hbb gene c.441_442insac molgen ql (bld),"beta globulin gene; beta thalessemia; beta-globin; blood; cd113t-c; genetics; hb tak; hbb c.441_442insac; hemoglobin beta chain; hemoglobin s gene; hemoglobin, beta; heredity; heritable; inherited; molecular genetics; molecular pathology; molpath; molpath.mutations; ordinal; pcr; point in time; pr; ql; qual; qualitative; random; screen; sickle cell anemia; wb; whole blood",Ord
55252-1,methoxsalen 0.02 mg/ml given [volume],methoxsalen 0.02 mg/ml gvn vol,methoxsalen 0.02 mg/ml given [vol],8-methoxypsoralen; 8-mop; drug doses; gvn; methoxsalen 0.02 mg/ml; oxsoralen; point in time; qnt; quan; quant; quantitative; random; uvadex; volume,Qn
5526-9,deprecated cd72 cells/100 cells in blood,deprecated cd72 wbc-acnc,cd72 qn (wbc),arbitrary concentration; cell markers; leukocytes; ly-19.2; ly-32.2; lyb-2; point in time; qnt; quan; quant; quantitative; random; wbcs; white blood cells,Qn
55274-5,varicella zoster virus status,vzv status,,chicken pox; chicken pox virus; chickenpox; h+p; h+p.hx; herpes zoster; hhv-3; history; human herpesvirus 3; id; infectious disease; infectiousdisease; nominal; p prime; point in time; random; shingles; vz; vzv; vzv status; zoster,Nom
55280-2,military service narrative,military service,,finding; findings; h+p; h+p.hx; narrative; p prime; point in time; random; report,Nar
55286-9,physical exam by body areas,physical exam by body areas,,bod; bodies; h+p; h+p.hx; p prime; pea; physical exam by body areas; point in time; random,Set
55287-7,time of death,time of death,,date and time; h+p; h+p.hx; p prime; point in time; qnt; quan; quant; quantitative; random; time stamp; timestamp,Qn
55290-1,sulopenem [susceptibility] by minimum inhibitory concentration (mic),sulopenem islt mic,sulopenem mic [susc],antibiotic susceptibilities; ast; id; infectious disease; infectiousdisease; islt; isol; minimum inhibitory concentration; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55292-7,linopristin+flopristin [susceptibility],linopristin+flopristin susc islt,linopristin+flopristin [susc],antibiotic susceptibilities; ast; id; infectious disease; infectiousdisease; islt; isol; nxl 103; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty; xrp 2868,OrdQn
55297-6,deprecated fip1l1+pdgfra gene rearrangements [presence] in blood or tissue by molecular genetics method,deprecated fip1l1+pdgfra gene rear bld/t,fip1l1+pdgfra rearrangements molgen ql (bld/tiss),"arbitrary; blood; cd140a; fip1l1+pdgfra rearrangements; fip1l1-pdgfra; genetics; heredity; heritable; inherited; molecular genetics; molecular pathology; molpath; molpath.rearrangements; ordinal; pcr; pdgfr2; pdgfr-2; platelet-derived growth factor receptor, alpha polypeptide; point in time; ql; qual; qualitative; random; rearr; rearrangement; rhepdgfra; screen; tissue; tissue, unspecified; wb; whole blood; whole blood or tissue",Ord
55302-4,deprecated paraneoplastic pemphigus ab [titer] in serum,deprecated paraneoplastic pemphigus ab titr ser,paraneoplastic pemphigus ab (s) [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; dilution factor; dilution factor (titer); point in time; qnt; quan; quant; quantitative; random; serology; serum; sr; titer; titered; titre; ttr,Qn
55325-5,js sup(a) ab [titer] in serum or plasma,js sup(a) ab titr serpl,js sup(a) ab [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; blood bank; dilution factor; dilution factor (titer); j (little s) (little a); js sup(a); js^a; kell blood group system; pl; plasma; plsm; point in time; random; s; s prime; serp; serpl; serplas; serum; serum or plasma; smqn; sr; titer; titered; titre; ttr,SemiQn
55337-0,p1 ab [titer] in serum or plasma,p1 ab titr serpl,p1 ab [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; blood bank; dilution factor; dilution factor (titer); pl; plasma; plsm; point in time; random; serp; serpl; serplas; serum; serum or plasma; smqn; sr; titer; titered; titre; ttr,SemiQn
55339-6,sd sup(a) ab [titer] in serum or plasma,sd sup(a) ab titr serpl,sd sup(a) ab [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; blood bank; dextro; dilution factor; dilution factor (titer); pl; plasma; plsm; point in time; random; s prime; sd sup(a); sd^e; serp; serpl; serplas; serum; serum or plasma; smqn; sr; titer; titered; titre; ttr,SemiQn
55341-2,xg sup(a) ab [titer] in serum or plasma,xg sup(a) ab titr serpl,xg sup(a) ab [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; blood bank; dilution factor; dilution factor (titer); pl; plasma; plsm; point in time; random; serp; serpl; serplas; serum; serum or plasma; smqn; sr; titer; titered; titre; ttr; x (little g) (little a); xg sup(a); xg^a,SemiQn
55346-1,clobazam+norclobazam [moles/volume] in serum or plasma,clobazam+norclobazam serpl-scnc,clobazam+norclobazam [moles/vol],clarmyl; clobazam metabolite; clopax; desmeth; desmethylclobazam; drug/toxicology; drugs; frisium; level; n-desmethylclobazam; noiafren; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; sederlona; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration; urbadan; urbanol; urbanyl,Qn
55354-5,osmolality of urine--4 hours post fluid fast,osmolality p 4h ffst ur,osmolality post 4 hr fluid fast (u) [osmolality],after; chemistry.challenge testing; osmo; osmol; osmolality; osmolarity; p 4h ffst; point in time; pst; qnt; quan; quant; quantitative; random; ua; ur; urn,Qn
55362-8,thyrotropin [units/volume] in serum or plasma --pre xxx challenge,tsh pre chal serpl-acnc,tsh pre unsp challenge qn,arbitrary concentration; before; chemistry.challenge testing; endocrine; endocrinology; pl; plasma; plsm; point in time; pre chal; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; thyroid stimulating hormone; thyrotropic hormone; tsh,Qn
55363-6,argatroban [mass/volume] in platelet poor plasma,argatroban ppp-mcnc,argatroban (ppp) [mass/vol],drug/toxicology; drugs; level; mass concentration; plas; platelet poor plasma; point in time; qnt; quan; quant; quantitative; random,Qn
55427-9,seizure disorder tracking panel,seizure disorder tracking pnl,,neuro; neurology; pan; panl; phr panels; pnl; point in time; random; seizure disorder tracking pnl,-
55434-5,insulin [moles/volume] in serum or plasma --20 minutes post xxx challenge,insulin 20m p chal serpl-scnc,insulin 20 min post unsp challenge [moles/vol],20m p chal; after; chemistry.challenge testing; hum; humulin; ih7; insul; lente; level; nph; p chal; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; semilente; serp; serpl; serplas; serum; serum or plasma; sliding; sr; substance concentration; ultralente,Qn
55441-0,deprecated antithrombin ag in platelet poor plasma,deprecated at iii ag ppp,antithrombin ag (ppp),anti thrombin; antigen; antigens; antithrm; antithrombin iii; antithrombn; at; at iii; atiii; hematology; heme; heparin cofactor i; lab orders; limiteduselaborders; plas; platelet poor plasma; point in time; random; thrombin inhibitor i,-
55465-9,influenza virus a h1 2009 pandemic rna [presence] in specimen by naa with probe detection,fluav h1 2009 pand rna spec ql naa+probe,fluav h1 2009 pand rna naa+probe ql (specimen),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; avian influenza; bird flu; dna nucleic acid probe; dna probe; flua; fluav; fluav h1; fluav h1 2009 pand; fluv; fowl plague; h1n1; h1n1v; id; infectious disease; infectiousdisease; influ; influenza a; influenza a virus; influenza virus a hemagglutinin h1 swine origin; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; ordinal; other; pcr; point in time; polymerase chain reaction; pr; probe amp; probe with ampification; probe with target amplification; qbr; ql; qual; qualitative; random; ribonucleic acid; screen; sda; s-oiv; spec; strand displacement amplification; tma; to be specified in another part of the message; transcription mediated amplification; unspecified,Ord
55466-7,influenza virus a h1 2009 pandemic rna panel - specimen by naa with probe detection,fluav h1 2009 pan rna pnl spec naa+probe,fluav h1 2009 pand rna pnl naa+probe (specimen),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; avian influenza; bird flu; dna nucleic acid probe; dna probe; flua; fluav; fluav h1; fluav h1 2009 pand; fluav h1 2009 pand rna pnl; fluv; fowl plague; h1n1; h1n1v; id; infectious disease; infectiousdisease; influ; influenza a; influenza a virus; influenza virus a hemagglutinin h1 swine origin; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; other; pan; panel.microbiology; panl; pcr; pnl; point in time; polymerase chain reaction; probe amp; probe with ampification; probe with target amplification; qbr; random; ribonucleic acid; sda; s-oiv; spec; strand displacement amplification; tma; to be specified in another part of the message; transcription mediated amplification; unspecified,-
5546-7,deprecated cd95 cells/100 cells in blood,deprecated cd95 wbc-acnc,cd95 qn (wbc),apo-1; apt1; arbitrary concentration; cell markers; fas; fas antigen; igf; leukocytes; point in time; qnt; quan; quant; quantitative; random; tnfrsf6; wbcs; white blood cells,Qn
55472-5,cortisol [moles/volume] in serum or plasma --2.5 hours post xxx challenge,cortis 2.5h p chal serpl-scnc,cortisol 2.5 hr post unsp challenge [moles/vol],17-hydroxycorticosterone; 2.5h p chal; after; chemistry.challenge testing; compound f; coritsol; cort; f; hydrocortisone; level; p chal; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
55496-4,insulin [moles/volume] in serum or plasma --2 hours post dose glucose iv,insulin 2h p glc iv serpl-scnc,insulin 2 hr post dose glucose iv [moles/vol],120 min; 120 minutes; 120min; 2 hours; 2h p glc; 2h p glc iv; after; chemistry.challenge testing; glu; glu tol; gluc; glucose tolerance; glucoseur; gtt; hum; humulin; ih7; insul; lente; level; nph; p dose; p glc; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; semilente; serp; serpl; serplas; serum; serum or plasma; sliding; sr; substance concentration; ultralente,Qn
55499-8,insulin [moles/volume] in serum or plasma --15 minutes post dose glucose iv,insulin 15m p glc iv serpl-scnc,insulin 15 min post dose glucose iv [moles/vol],15m p glc; 15m p glc iv; after; chemistry.challenge testing; glu; glu tol; gluc; glucose tolerance; glucoseur; gtt; hum; humulin; ih7; insul; lente; level; nph; p dose; p glc; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; semilente; serp; serpl; serplas; serum; serum or plasma; sliding; sr; substance concentration; ultralente,Qn
55500-3,insulin [moles/volume] in serum or plasma --30 minutes post dose glucagon,insulin 30m p gc serpl-scnc,insulin 30 min post dose glucagon [moles/vol],30m p gc; after; chemistry.challenge testing; hgf; hum; humulin; hyperglycemic factor; ih7; insul; lente; level; nph; p dose; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; semilente; serp; serpl; serplas; serum; serum or plasma; sliding; sr; substance concentration; ultralente,Qn
55503-7,prolactin [mass/volume] in serum or plasma --40 minutes post dose trh iv,prolactin 40m p trh iv serpl-mcnc,prolactin 40 min post dose trh iv [mass/vol],40m p trh iv; after; chemistry.challenge testing; lactotropic hormone; lactotropin; level; mammatropic hormone; mammotropin; mass concentration; p dose; p trh; pl; plasma; plsm; point in time; prl; prol; pst; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr,Qn
5550-9,deprecated cd99 cells/100 cells in blood,deprecated cd99 wbc-acnc,cd99 qn (wbc),arbitrary concentration; cd99r; cell markers; e2; leukocytes; mic2 gene product; point in time; qnt; quan; quant; quantitative; random; wbcs; white blood cells,Qn
55520-1,6-monoacetylmorphine (6-mam) [moles/volume] in urine,6mam ur-scnc,6-monoacetylmorphine (6-mam) (u) [moles/vol],6 mam; 6 mono acetyl morphine; 6-acetylmorphine; 6mam; acetylmorphine; addiction; drug/toxicology; drugs; drugs of abuse; heroin metabolite; illicit; level; mam; point in time; potentialforabuse; qnt; quan; quant; quantitative; random; substance concentration; ua; ur; urn,Qn
55534-2,doxylamine [moles/volume] in serum or plasma,doxylamine serpl-scnc,doxylamine [moles/vol],decapryn; drug/toxicology; drugs; level; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
55540-9,furosemide [moles/volume] in serum or plasma,furosemide serpl-scnc,furosemide [moles/vol],c210; drug/toxicology; drugs; furj; lasix; lasj; level; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
55543-3,hydroxychloroquine [moles/volume] in serum or plasma,oh-chloroquine serpl-scnc,hydroxychloroquine [moles/vol],drug/toxicology; drugs; hcq; hydroxy chloroquine; level; oh-chloroquine; oxichlorochin; pl; plaquenil; plasma; plsm; point in time; qnt; quan; quant; quantitative; quensyl; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
55549-0,methocarbamol [moles/volume] in serum or plasma,methocarbamol serpl-scnc,methocarbamol [moles/vol],carbacot; drug/toxicology; drugs; level; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; robaxin; serp; serpl; serplas; serum; serum or plasma; skelex; sr; substance concentration,Qn
55552-4,methylphenidate [moles/volume] in serum or plasma,me-phenidate serpl-scnc,methylphenidate [moles/vol],addiction; drug/toxicology; drugs; drugs of abuse; illicit; level; me-phenidate; pl; plasma; plsm; point in time; potentialforabuse; qnt; quan; quant; quantitative; random; ritalin; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
55569-8,phentermine [moles/volume] in serum or plasma,phentermine serpl-scnc,phentermine [moles/vol],addiction; drug/toxicology; drugs; drugs of abuse; illicit; ionamin; level; pl; plasma; plsm; point in time; potentialforabuse; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
55599-5,leukocytes.disintegrated/leukocytes in cerebral spinal fluid by manual count,wbc.disintegrated nfr csf manual,wbc.disintegrated/leukocytes manual cnt (csf),cerebral spinal fluid; cerebrospinal fl; hematology/cell counts; leuc; leuk; leukocyte; lkcs; manl; number fraction; percent; point in time; qnt; quan; quant; quantitative; random; spinal fl; spinal fld; spinal flu; spinal fluid; wbc; wbc.disintegrated; wbcs; white blood cell; white blood cells,Qn
55618-3,atovaquone [susceptibility] by minimum inhibitory concentration (mic),atovaquone islt mic,atovaquone mic [susc],antibiotic susceptibilities; ast; atavaquone; id; infectious disease; infectiousdisease; islt; isol; lung; mepron; minimum inhibitory concentration; point in time; pulmonary; pulmonology; random; respiratory; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55624-1,cefacetrile [susceptibility] by minimum inhibitory concentration (mic),cefacetrile islt mic,cefacetrile mic [susc],antibiotic susceptibilities; ast; cephacetrile; id; infectious disease; infectiousdisease; islt; isol; minimum inhibitory concentration; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55627-4,cefacetrile [susceptibility] by gradient strip,cefacetrile islt grad strip,cefacetrile strip [susc],antibiotic susceptibilities; ast; cephacetrile; epsilometer; estrip; e-strip; grad strip; id; infectious disease; infectiousdisease; islt; isol; mic; minimum inhibitory concentration; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55635-7,cefamandole+sulbactam [susceptibility],cefamandole+sulbactam susc islt,cefamandole+sulbactam [susc],antibiotic susceptibilities; ast; c31; id; infectious disease; infectiousdisease; islt; isol; kefadol; mandol; manj; point in time; random; sulb; sulbact; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55636-5,cefamandole+sulbactam [susceptibility] by disk diffusion (kb),cefamandole+sulbactam islt kb,cefamandole+sulbactam disk diffusion (kb) [susc],antibiotic susceptibilities; ast; c31; disk diffusion; id; infectious disease; infectiousdisease; islt; isol; kb; kefadol; kirby-bauer; mandol; manj; point in time; random; sulb; sulbact; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55669-6,dibekacin [susceptibility] by minimum inhibitory concentration (mic),dibekacin islt mic,dibekacin mic [susc],antibiotic susceptibilities; ast; id; infectious disease; infectiousdisease; islt; isol; minimum inhibitory concentration; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55670-4,dibekacin [susceptibility],dibekacin susc islt,dibekacin [susc],antibiotic susceptibilities; ast; id; infectious disease; infectiousdisease; islt; isol; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55696-9,oxolinate [susceptibility],oxolinate susc islt,oxolinate [susc],antibiotic susceptibilities; ast; id; infectious disease; infectiousdisease; islt; isol; oxolinic acid; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
55713-2,rosoxacin [susceptibility] by gradient strip,rosoxacin islt grad strip,rosoxacin strip [susc],acrosoxacin; antibiotic susceptibilities; ast; epsilometer; eracine; eradacil; eradacin; estrip; e-strip; grad strip; id; infectious disease; infectiousdisease; islt; isol; mic; minimum inhibitory concentration; point in time; random; rosacin; sus; suscept; susceptibilities; susceptibility; susceptibilty; winuron,OrdQn
55728-0,yersinia sp igg and igm panel - serum,yersinia sp igg+igm pnl ser,yersinia sp igg and igm panel (s),id; immune globulin g; immune globulin m; immunoglobulin g; immunoglobulin m; infectious disease; infectiousdisease; microbiology; pan; panel.microbiology; panl; pnl; point in time; random; serum; species; spp; sr; yersinia sp igg+igm pnl,-
55759-5,temporal orientation - care acute care,,,care survey; point in time; random; survey,-
55766-0,egfr gene c.2573t>g [presence] in blood or tissue by molecular genetics method,egfr c.2573t>g bld/t ql,egfr gene c.2573t>g molgen ql (bld/tiss),"blood; egfr c.2573t&gt;g; epidermal growth factor receptor; epidermal growth factor receptor gene; erbb; erbb1; genetics; her1; heredity; heritable; inherited; l858r; mena; molecular genetics; molecular pathology; molpath; molpath.mutations; nisbd2; oncogene erbb; oncology; ordinal; pcr; pig61; point in time; pr; ql; qual; qualitative; random; screen; t2573g; tissue; tissue, unspecified; v-erb-b avian erythroblastic leukemia viral oncogene homolog; wb; whole blood; whole blood or tissue",Ord
55778-5,eosinophils [#] in cerebral spinal fluid by manual count,eosinophil csf manual,eosinophils manual cnt (csf) [#],cerebral spinal fluid; cerebrospinal fl; cnt; count; eos; eosin; eosino; eosinophil; eosins; hematology/cell counts; manl; number; point in time; qnt; quan; quant; quantitative; random; spinal fl; spinal fld; spinal flu; spinal fluid,Qn
55787-6,lymphocytes [#] in cerebral spinal fluid by manual count,lymphocytes csf manual,lymphocytes manual cnt (csf) [#],cerebral spinal fluid; cerebrospinal fl; cnt; count; hematology/cell counts; lymp; lymph; lympho; lymphocyte; lymphs; lymphs%; manl; neuro; neurology; number; point in time; qnt; quan; quant; quantitative; random; spinal fl; spinal fld; spinal flu; spinal fluid,Qn
55794-2,other cells [#] in cerebral spinal fluid by manual count,other cells csf manual,other cells manual cnt (csf) [#],cell; cellularity; cerebral spinal fluid; cerebrospinal fl; cnt; count; hematology/cell counts; manl; number; othr; point in time; qnt; quan; quant; quantitative; random; spinal fl; spinal fld; spinal flu; spinal fluid,Qn
