LOINC_NUM,text_representation
62804-0,phenx deprecated measure - fasting serum insulin
27262-5,methaqualone [mass/mass] in meconium
27262-5,methaqualone meconium in [mass/mass]
27262-5,ethulon [mass/mass] drugs of abuse in menium
27262-5,methaqualone mec-mcnt
27262-5,methaqualone quantitative mecmcnt
27262-5,random methaqualone mec-mcnt
27262-5,methaqualone (mec) [mass/mass]
27262-5,methaqualoe (mec) [mass/mass]
27262-5,mehaqualon (me) [mass/mas] qnt
13466-8,lead/creatinine [mass ratio] in urine
13466-8,creat urine [mss ratio] in leadcreatinine
13466-8,[mass lead/creatinine ratio] in urine
13466-8,lead/creat ur
13466-8,ur lead/creat
13466-8,ua ur ledcret
13466-8,lead/creatinine (u) [mass ratio]
13466-8,[mass (u) cr lead/creatinine ratio]
13466-8,(u) lead/creatinine [mass ratio]
22374-3,deprecated la crosse virus igg ab [titer] in serum
22374-3,deprecated la crosse virus in ab [titer] dilution factor igg serum
22374-3,deprecated crosse aby la virus igg ab [titer] in ser
22374-3,deprecated lacv igg titr ser
22374-3,lacrosse virus lacv deprecated igg titr ser
22374-3,lacv deprecated ig tir ser titre
22374-3,la crosse virus igg (s) [titer]
22374-3,l rose vis igg (s titr]
22374-3,la (s) virus igg crosse [titer]
4114-5,amdinocillin [mass] of dose
4114-5,amdinocilin [mass] of dose
4114-5,amdinocillin [mass] of dose
4114-5,amdinocillin dose
4114-5,adinocilln dose dose med or substance
4114-5,dose amdinocillin
4114-5,amdinocillin (dose) [mass]
4114-5,mdinocillin (dose) mss]
4114-5,adinocillin [mass] (dose)
38730-8,"2,4,6-trichlorophenol [mass/volume] in air"
38730-8,"level 24,6-trichlrophenol [mass/volume] inair"
38730-8,"[mass/volume] 2,4,6-trichlorophenol in air 2,4,6-t"
38730-8,"2,4,6-tcp air-mcnc"
38730-8,"2,46-tcp air-mcnc"
38730-8,"2,4,6-tcp air-mcnc"
38730-8,"2,4,6-trichlorophenol (air) [mass/vol]"
38730-8,"2,4,6-trichlorophenol (air) ii [mass/vol]"
38730-8,"(air) 2,4,6-trichlorophenol [mass/vol]"
25084-5,2-oxoisocaproate/creatinine [molar ratio] in urine
25084-5,2-oxoiaproate/cretinine [molar atio] in cr rine
25084-5,2-oxoisocaprate/creanine [molar ratio] i urie
25084-5,2oxoisocaproate/creat ur-srto
25084-5,u-srto 2oxoiocaproat/creat
25084-5,2oxoisocaproate/creat ur-srto
25084-5,2-oxoisocaproate/creatinine (u) [molar ratio]
25084-5,2-oxoisocaproate/creatinine (u) [molar 2-oxoisocaproic acid ratio]
25084-5,[mor (u) 2oosocaprate/creatinine ratio] 2-keto-4-methylvalerate
49336-1,adenovirus dna [#/volume] (viral load) in bronchoalveolar lavage by naa with probe detection
49336-1,adenovirus dna [#/volue] (viral load) in bonchoaelar lage by n wit prbe dtection
49336-1,adenvrus da [#/volume] (vral load)  bronchoalveor lavageby aa with probe detecton
49336-1,hadv dna # bal naa+probe
49336-1,hadv dna # bal naa+probe ligation-activated transcription
49336-1,hadv dna count/volume # bal na+probe
49336-1,adenovirus dna naa+probe (bal) [#/vol]
49336-1,adenovirus dna (bal) naa+probe [#/vol]
49336-1,adenoviu [#/vol] naa+probe (bal) dna
73998-7,25h-nbome [presence] in urine by confirmatory method
73998-7,25-nbome by in urin [presnce] drug/toxicology confimatorymetd
73998-7,25h-nbome [presence] in urine by confirmatory method
73998-7,25h-nbome ur ql cfm
73998-7,25hnboe drug/toxicology ur q fm
73998-7,25h-nbome cfm qual ql ur
73998-7,25h-nbome confirm ql (u)
73998-7,25h-nbome cofirm ql (u)
73998-7,25h-nbome cnfirmql (u)
2292-1,formate [mass/volume] in serum or plasma
2292-1,formate in [mas/volum] serum or plasma qnt
2292-1,frmate [massvolum] in lsma r ser
2292-1,formate serpl-mcnc
2292-1,serpl-mcnc formate
2292-1,formate srpl-mcc
2292-1,formate [mass/vol]
2292-1,[mass/vol] formate
2292-1,forma [asvol
71145-7,pediatric - functional assessment of anorexia cachexia - parent_child questionnaire - version 1 (peds-faact - parent_child) [facit]
71145-7,pediatric - fnctinal assesent o anoreia achexi - parenchld quetionnaire - version 1 (peds-faat - pent_child [facit]
71145-7,ediatic pnl - untional - ofanorxia cahexia - parent_chld quesionnaire asessment ersion 1 pes-faact - parent_chd) fcit]
74682-6,trichloroethanol.free [mass/volume] in blood
74682-6,trichloroethanol.free [mass/volume] fr in blood
74682-6,[mass/volume] quantitative trichloroethanol.free in blood
74682-6,tcoh.free bld-mcnc
74682-6,bldmcnc tcoh.free tcoh.ree
74682-6,bld-mcn tcoh.fre
74682-6,trichloroethanol.free (bld) [mass/vol]
74682-6,(bld) trichloroethanol.free [mass/vol]
74682-6,(bld) trichloroethanol.free [mass/vol]
94359-7,glutamate decarboxylase 65 igg+igm ab [moles/volume] in cerebral spinal fluid by immunoassay
94359-7,glutaat decaboxylase 6 igg+igm ab pinal in cerebral [moles/voume fluiby mmunoassay
94359-7,glutamate decarboxylase 65 igg+igm ab [moles/volume] in cerebral spinal fluid by immunoassay
94359-7,gad65 igg+igm csf ia-scnc
94359-7,gad-65 gad65 igg+im i-cnc cerebrospinal fluid
94359-7,cerebrospinal fluid igg+igm gad65 ia-scnc eia
94359-7,glutamate decarboxylase 65 igg+igm ia (csf) [moles/vol]
94359-7,glutamate decarboxylase 65 igg+igm ia [moles/vol] (cerebrospinal fluid) spinal fl
94359-7,glutmate iaa dearboxylase 65 iggigmia (sf) [moles/vol]
94248-2,borrelia mayonii oppa2 gene [presence] in blood by naa with non-probe detection
94248-2,mayonii borrelia oppa2 gene [presence] in blood by naa with non-probe detection
94248-2,borelia amplif mayonii opa2 gene with in lood by naa [presnce] on-proe detectin
94248-2,b mayonii oppa2 bld ql naa+non-probe
94248-2,bmyonii bld ppa2 qlna+non-probe
94248-2,b myonii oppa2 bld ql naa+non-pobe
94248-2,b. mayonii oppa2 gene naa+non-probe ql (bld)
94248-2,b. mayonii ql oppa2 gene naa+non-probe ql (bld)
94248-2,b. naa+non-robe oppa2 gene mayonii presence (bld)
49424-5,papova virus sv 40 dna [#/volume] (viral load) in serum or plasma by naa with probe detection
49424-5,papova virus sv detctin /volume] (viralload) in serum or plasma b na with probe 40dna
49424-5,papova virus in 0 dna [volue] (viraload) sv ser or pasma b naa with probe detectio
49424-5,sv40 dna # serpl naa+probe
49424-5,sv-40 sv40 srp # a naa+probe
49424-5,sv40 dn serpl # na+robe
49424-5,papova virus sv 40 dna naa+probe [#/vol]
49424-5,papova 4 sv virus dna naa+proe [#/vo]
49424-5,papova quan vrus s 40 d naa+probe [#vol]
2500-7,iron binding capacity [mass/volume] in serum or plasma
2500-7,iron binding [mass/volume] capacity in ser or plasma
2500-7,iron binding capacity in [mass/volume] serum or plasma
2500-7,tibc serpl-mcnc
2500-7,serpl-mnc tibc
2500-7,serpl-mcnc tibc
2500-7,iron binding capacity [mass/vol]
2500-7,iron binding aacity [mas/vol]
2500-7,capacity binding iron [mass/vol]
30534-2,linoleoylcarnitine (c18:2) [moles/volume] in serum or plasma
30534-2,or (c18:2) [moles/volume] in ser linoleoylcarnitine plasma
30534-2,linoleoylcaritine (18:2)[moles/volume] in serumor plasma
30534-2,linoleoylcarn serpl-scnc
30534-2,serpl-scc linoleolcarn level
30534-2,linoleoylcarn erp-scnc
30534-2,c18:2 [moles/vol]
30534-2,c18:2 [moles/vol]
30534-2,c18:2[oles/o]
51612-0,sucrose [presence] in urine
51612-0,sose ql] i urine
51612-0,sucrose [preence] in point in time urine
51612-0,sucrose ur ql
51612-0,sucrose urql
51612-0,ucroseu pr presence
51612-0,sucrose ql (u)
51612-0,sucrose ql (u) ur
51612-0,sucrose ql ql (u)
73375-8,fluoxetine induced platelet igg ab [presence] in serum or plasma by flow cytometry (fc)
73375-8,fluoxetine induced platelet igg ab [presence] in serum or plasma by flow cytometry (fc) anti
73375-8,fluoxetine induced platelet auto-antibodies platelet igg ab cytometry in serpl by flow [presence] (fc)
73375-8,fluoxetine ind plt igg serpl ql fc
73375-8,fluoxtine ind plt igg serpl ql fc
73375-8,fluoxetine ind plt igg fc ql serpl
73375-8,fluoxetine induced platelet igg fc ql
73375-8,pateleigg inuced luoxetne immune globulin g fcql
73375-8,fluoxetine induced platelet antibody igg fc ql
11592-3,aspergillus fumigatus 6 ab [presence] in serum
11592-3,aspergillus fumigatus 6 serum aspergil [presence] in ab
11592-3,id asprilus fumigatus 6 ab [presece] in serum
11592-3,a fumigatus6 ab ser ql
11592-3,a fumigaus6 farmers lung absel
11592-3,a fumigatus6 serum ab anti ql
11592-3,a. fumigatus 6 ab ql (s)
11592-3,a. 6ab fumigats ql (s)
11592-3,farmers lung a. fumigatus 6 ab presence (s)
11103-9,band form neutrophils/cells in bone marrow by manual count
11103-9,manual form nutrophils/cells in bne arrow by band count
11103-9,band form in bm neutrophils/cells bone marrow by manual count
11103-9,neuts band nfr mar manual
11103-9,minimal angle of resolution neuts band nfr mar manual
11103-9,band neuts nfr mar manual
11103-9,band form neutrophils/cells manual cnt (bm)
11103-9,and form anual neutrophils/cells cnt (bm)
11103-9,band orm netropils/cells pmn manual cnt (bm)
70890-9,additional concerns - fact-bmt [facit]
70890-9,additional - concerns fact-bmt survey.gnhlth [facit]
70890-9,addional concerns - cit functional assessment of chronic illness therapy fact-bmt
10672-4,helminth+arthropod identified in specimen
10672-4,maggot identifie helminth+arthopo in specimen
10672-4,fleas helminth+arthropod identified in specimen
10672-4,worm+insect spec
10672-4,worm+insect spec pt
10672-4,spec worm+insect
10672-4,helminth+arthropod identified nom (specimen)
10672-4,helmintharhrod identifed nom (spcmen)
10672-4,elminth+arthropod lice idenified nm(specien)
17392-2,osmium [mass/volume] in urine
17392-2,osmium [mass/volume] in urine
17392-2,in osmimass/vlume] urine
17392-2,osmium ur-mcnc
17392-2,ur-mcnc osmium
17392-2,osmiu u-mcnc
17392-2,osmium (u) [mass/vol]
17392-2,osmium (u) [mass/vol]
17392-2,osmium (u) [mass/vol]
6401-4,ehrlichia chaffeensis igg ab [presence] in serum by immunoassay
6401-4,ehrlichia haffensis igg serum [presnce in ab by immunossay
6401-4,ehrlichia chaffeensis igg in [presence] ab serum by immunoassay
6401-4,e chaffeensis igg ser ql ia
6401-4,chaffeensis e igg ser antibody q ia
6401-4,haffeensis e igg ser ql qual ia
6401-4,e. chaffeensis igg ia ql (s)
6401-4,e. (s) igg ia ql chaffeensis
6401-4,e. chaffeensis presence ia screen igg (s)
13155-7,deprecated streptococcus pneumoniae 14 ab [units/volume] in serum --1st specimen
13155-7,deprecaed streptococcus pemoniae14 ab [units/volume] in srum --1st specimen
13155-7,deprecated pneumoniae streptococcus 14 ser ab [units/volume] in ser --1st specimen
13155-7,deprecated s pneum14 ab sp1 ser-acnc
13155-7,ab infectious disease s pneum deprecated sp1 ser-anc
13155-7,spneu1 deprecated ab s1 ser-cnc
13155-7,s. pneumoniae 14 ab spec 1 qn (s)
13155-7,s.pneumoniae spec ab 14 1 qn () quantitative
13155-7,s. pneuonie 14 q spec 1 ab (s) antby
86152-6,streptococcus pneumoniae danish serotype 8 igg ab [mass/volume] in serum --1st specimen
86152-6,sreptococcus nemoniae danish serotpe 8 igg ab [mass/volue in ser -1st pcimen
86152-6,streptococcus pneumoniae danish serotype 8 igg ab [mass/volume] in serum --1st specimen
86152-6,s pneum da 8 igg sp1 ser-mcnc
86152-6,s pneum da sp1 igg 8 ser-mcnc
86152-6,s pneum da 8 igg ser-mcnc sp1
86152-6,s. pneumoniae danish type 8 igg spec 1 (s) [mass/vol]
86152-6,s. strep peumoniae danish tye 8 igg spe 1 s)mas/vol]
86152-6,s. s pneumo pneumoniae dnih tpe 8 g 1 spec (s) [mas/o]
55350-3,fenfluramine [presence] in urine
55350-3,fenfluramine in [ql] urine
55350-3,fenfluramine [ql] in pesos urine
55350-3,fenfluramine ur ql
55350-3,ql ur fenfluramine
55350-3,fenfluramine dima-fen ur presence
55350-3,fenfluramine ql (u)
55350-3,fenfluramine ql (u)
55350-3,fefuramine ql () ponderax
5744-8,thallium [mass/volume] in serum or plasma
5744-8,thallum r inseru [massvome] plasma quantitative
5744-8,thallium [mass/volume] plasma quantitative serum or in
5744-8,thallium serpl-mcnc
5744-8,thallium serpl-cnc mass concentration
5744-8,plasma serplmcnc thallium
5744-8,thallium [mass/vol]
5744-8,[mass/vol] serpl thallium
5744-8,thallium [mass/vol]
35191-6,bilirubin.direct [mass or moles/volume] in serum or plasma
35191-6,bilirbin.direct [mss o or in rum mole/volum] plasma
35191-6,bilirubin.diret in ormoles/volume] [mas ser or plasma
35191-6,bilirub direct serpl-mscnc
35191-6,associated bilirub serpl-mscnc direct
35191-6,dirtserpl-mscnc bilirub sr
35191-6,bilirubin.direct [mass or moles/vol]
35191-6,chemistry bilirubin.direct [mass or moles/vol]
35191-6,bilirubin.direct [mass moles/vol] or
20562-5,left ventricular stroke volume
20562-5,heart disease left vetriclar strok volume
20562-5,left ventricular toke olume heart disease
20562-5,lv sv
20562-5,quant lvsv
20562-5,lv sv lv
101422-4,human coronavirus oc43 rna [presence] in respiratory system specimen by naa with probe detection
101422-4,human coronavirus oc43 rna [presence] in respiratory system specimen corona virus by naa with probe detection
101422-4,human coronavirus oc43 rn presene] i rpiratory system pecmen by naawithprob detection
101422-4,hcov oc43 rna resp ql naa+probe
101422-4,o43 ligase chain reaction hcov rnaresp presence naa+robe
101422-4,hcov oc43 rnaresp ql aa+probe
101422-4,hcov oc43 rna naa+probe ql (respiratory system specimen)
101422-4,rna oc43 hco naa+probe ql (respiratory systm specimen)
101422-4,specimen) oc43 rna naa+probe ql (respiratory system hcov
14383-4,mononuclear cells/leukocytes in semen by manual count
14383-4,mononuclear cells/leukocytes in semen number fraction by manual count
14383-4,monoclercels/leukocyts in percent se by maual cont
14383-4,mononuc cells nfr smn manual
14383-4,mnouc cels gu nfr m nual
14383-4,cells ononu nr smnmanual
14383-4,mononuclear cells/leukocytes manual cnt (sem)
14383-4,monuclear cnt cells/leukoyesmanual sem)
14383-4,mononuclear cells/leukocyes mnual cnt (sem)
1371-4,bromsulphthalein [mass/volume] in serum or plasma
1371-4,bromsulhthlein plas inseum o [mass/volum]
1371-4,bromsulphthalein [mass/volume] plasma serum serum or in
1371-4,bromsulphthalein serpl-mcnc
1371-4,serplas bromsulphthalein serpl-mcnc
1371-4,serpl-mcnc bromsulphthalein
1371-4,bromsulphthalein [mass/vol]
1371-4,bomsulphhalein [mass/vol]
1371-4,plsm [mass/vol] bromsulphthalein
51616-1,hemoglobin a2+e/hemoglobin.total in blood
51616-1,hmoglobin 2+e/hemoglobin.ttal mass fraction blood in
51616-1,hmoglbin a2+e/hemolobin.tot in bood hb
51616-1,hgb a2+e mfr bld
51616-1,hgb a2+e mfr bld
51616-1,hgb a2+e mr wb bld
51616-1,hemoglobin a2+e (bld) [mass fraction]
51616-1,hemogobin a2+e bld) [mass fractio]
51616-1,hemoglobin a2+e (bld) [mass fraction]
44597-3,igg.monoclonal [presence] in serum by immunofixation
44597-3,igg.monoclonl [presence] n serum by immunofixation
44597-3,igg.onoclnal ordinal [presence] i serm by immunofixation
44597-3,m-igg ser ql ife
44597-3,m-gg ife screen presence ser
44597-3,m-igg ser pr ql ife
44597-3,igg.monoclonal immunofixation ql (s)
44597-3,igg.monoclonal immunofixation ql (s)
44597-3,immunoixatonql igg.monoconal (s)
46754-8,long chain hydroxy acyl dehydrogenase/trifunctional protein deficiencies newborn screen interpretation
46754-8,interpretation chain dehydrog hydroxy acyl dehydrogenase/trifunctional protein deficiencies newborn screen long
46754-8,long chain hydroxy acyl dehydrogenase/trifunctional protein deficiencies newborn screen interpretation
46754-8,lchadd/tfp dbs-imp
46754-8,dbs-imp lchadd/tfp interpretation
46754-8,dbs-imp lchadd/tfp
46754-8,long chain hydroxy acyl dehydrogenase/trifunctional protein deficiencies (dbs) [interp]
46754-8,long hain hydrox hdrxy acyl dehydrogenase/truntional protein deficiencies (bs) interp]
46754-8,long hydroxy chain acyl dehydrogenase/trifunctional protein deficiencies (dbs) [interp]
22201-8,chlamydia trachomatis g+f+k igg ab [titer] in serum
22201-8,chlamydia trachomatis g+f+k igg [titer] ab in serum
22201-8,chlamydia trachomatis g+f+k igg serum [titer] in ab
22201-8,c trach g+f+k igg titr ser
22201-8,c rach g+f+k ig titr se
22201-8,er g+f+ igg titr c trac cac
22201-8,c. trachomatis g+f+k igg (s) [titer]
22201-8,sr c. igg gf+k trhomat (s) [tter]
22201-8,c. trachomati gf+k igg () dilution factor (titer) [ter]
6613-4,haemophilus influenzae d ag [presence] in cerebral spinal fluid by immunofluorescence
6613-4,haemophilus inluenzae d a [presence]in by spinal flud cerebral immunofluorescence
6613-4,haemophilus influenzae d ag [presence] by cerebral spinal fluid in immunofluorescence
6613-4,haem influ d ag csf ql if
6613-4,haem inlu d ag q csf i
6613-4,hae influ agcsfql i
6613-4,h. influenzae d ag if ql (csf)
6613-4,ag inlena d h. if presence(cf)
6613-4,h. influenza d ag l if (sf)
49552-3,epinephrine+norepinephrine [mass/volume] in urine
49552-3,urine [mass/volume] in ur epinephrine+norepinephrine
49552-3,urie eppi [mass/vlum] in epinephrine+noreinehrine
49552-3,epineph+nor ur-mcnc
49552-3,ur-mcnc epneph+nor adrenaline
49552-3,epineph+nor ur-mcnc epi
49552-3,epinephrine+norepinephrine (u) [mass/vol]
49552-3,urn [mass/vol] einphrine+norepinephrine()
49552-3,[mass/vol] (u) epinephrine+norepinephrine
60481-9,hedis 2011-2013 codes to identify ldlc screening (cdc-h)
60481-9,asymptomatic 011-2013 hedis cods to identfy ldlcscreein(dch)
60481-9,identify 2011-2013 panel.hedis codes to hedis ldlc screening (cdc-h)
60481-9,hedis 2011-12 cdc-h
60481-9,hedis 2011-12 cdc-h
60481-9,hedis211-12cd-h
60481-9,hedis 2011-2013 codes to identify ldlc screening (cdc-h)
60481-9,hdis 011-2013codes t screening ldlc idetify (cdc-h)
60481-9,hedis 201-2013 ds to identifyldlcscrenin (cdc-h
32094-5,methanol [moles/volume] in specimen
32094-5,methanol [moles/volume] in specimen
32094-5,methanol [moes/volum in specime quant
32094-5,methanol spec-scnc
32094-5,meoh spec-scnc methnol
32094-5,spec-scnc methanol
32094-5,methanol (specimen) [moles/vol]
32094-5,methano (specimen) [oles/vol]
32094-5,substance concentration methanol (spcmen) [mols/vol]
93043-8,personal characteristics [prapare]
93043-8,personalharacteristics [praar]
93043-8,[prapar] random characteristics prsonal
100203-9,knee society score post-op panel [knee society score]
100203-9,knee society [knee post-op panel score society score]
100203-9,post-op society score knee panel [knee society score]
27033-0,proline [moles/volume] in amniotic fluid
27033-0,prolin [moes/volume] in amnioti flud
27033-0,proline [moles/volume] point in time in amniotic fluid
27033-0,proline amn-scnc
27033-0,proline mn-scnc amn
27033-0,am-scnc pro proline
27033-0,proline (amn fld) [moles/vol]
27033-0,(amn proline fld) [moles/vol]
27033-0,proline (amn [moles/vol] fld)
92947-1,streptococcus pyogenes dna [ncncrange] in bronchoalveolar lavage by naa with non-probe detection
92947-1,strpococcu pyogenes dna [ncnrange] in brnchoalveolr lavage ncncrng by naa with non-proe detecton
92947-1,streptococcus pogenes aa in brnchoalveolarlavage b dnancncrng with non-probe detection
92947-1,s pyo dna bal naa+non-prb-ncncrng
92947-1,s pyo group a strep dna bal naa+non-prb-ncncrng
92947-1,s pyo dna naa+non-prb-ncncrng bal
92947-1,s. pyogenes dna naa+non-probe (bal) [ncncrange]
92947-1,s. pyogenes group a strep dna naa+non-probe (bal) [ncncrange]
92947-1,s. pyogenes dna probe with ampification naaon-probe(bl) [ncnnge]
62958-4,deprecated phenx measure - colorectal procedures and outcomes
62958-4,eprecate phenx masure procedures -coloctal and outcomes
62958-4,deprecated phenx measure and colorectal point in time procedures - outcomes
33899-6,bilirubin.conjugated+indirect [moles/volume] in serum or plasma
33899-6,bilirubin.conjugated+idirect [moles/volume] in pasma serp or serum
33899-6,bilirubin.conjugated+indirect [moles/volume] in serpl
33899-6,bilirub conj+unconj serpl-scnc
33899-6,onj+unnjserpl-scnc bilirub serpl
33899-6,bilirub serpl-scnc conj+unconj
33899-6,bilirubin.conjugated+indirect [moles/vol]
33899-6,bilirubin.conjugated+indirect bilirubin glucuronides [moles/vol]
33899-6,[moles/vol] bilirubn.onjugated+indirect
44826-6,hepatitis d virus igm ab [units/volume] in serum by immunoassay
44826-6,hepatitis d virus igm ab [units/volume] in serum immunoassay by
44826-6,by d iru igm a[units/volume] in serum hepatitis immunoassy
44826-6,hdv igm ser ia-acnc
44826-6,ser igm hdv ia-acnc
44826-6,quant ia-acnc gm ser hdv
44826-6,hdv igm ia qn (s)
44826-6,qn igm ia hdv (s)
44826-6,hdv igm ia qn () sr
99096-0,mycoplasma pneumoniae dna [presence] in cerebral spinal fluid by naa with probe detection
99096-0,mycoplasma pneumoniae dna [ql] by cerebral spinal fluid in naa with probe detection
99096-0,mycoplasma pneumoniae myco dna [presence] in cerebral spinal fluid by naa with probe detection
99096-0,m pneumo dna csf ql naa+probe
99096-0,m pneumo dna csf naa+probe ql
99096-0,pneumo m dna m pneumo csf ql naa+probe
99096-0,m. pneumoniae dna naa+probe ql (csf)
99096-0,m. pneumoniae dna ql naa+probe (cerebrospinal fluid)
99096-0,m pneumonia naa+probe dna ql myco (csf)
80596-0,rhinovirus 5' utr rna [presence] in nasopharynx by naa with probe detection
80596-0,by 5' ut rna [presence]innasopharynx rhiovirs naawithprbe deection
80596-0,rhinovirus 5' utr rna [ql] in nasopharynx by naa with probe detection
80596-0,rhinovirus 5' utr rna nph ql naa+probe
80596-0,rhinovirus 5' utr rna naa+probe presence nph
80596-0,rinvirus 5' utr rna np l na+prob qbr
80596-0,rhinovirus 5' utr rna naa+probe ql (nph)
80596-0,utr 5' rhinovirus rna naa+probe presence (nph)
80596-0,rhinovirus 5' utr ql naa+probe rna (nph)
96322-3,klebsiella oxytoca dna [ncncrange] in lower respiratory specimen by naa with non-probe detection
96322-3,klebsiella oxtoca dna with in lower respirtory ecmen by naa ncnre] non-robedetecton
96322-3,klebsiella oxytca specien [ncncrange] in lower respiratory n by n with non-probe dtection ligase chain reaction
96322-3,k oxytoca dna l resp naa+non-prb-ncncrng
96322-3,k oxyc na amplified resp naa+nonprb-ncncrn
96322-3,k oytoa dna l resp naa+nonprbncncrng
96322-3,k. oxytoca dna naa+non-probe (lower resp) [ncncrange]
96322-3,k. oxytoca random dna naa+non-probe (lower resp) [ncncrange]
96322-3,k. oxytoca random d naa+nn-probe sp) (loer [ncncrange]
35634-5,secobarbital [mass/volume] in serum or plasma by screen method
35634-5,secoarbital [mass/olume] in scren orplasma by rm method
35634-5,secobarbital [mass/volume] in ser or plasma by screen method
35634-5,secobarbital serpl scn-mcnc
35634-5,plasma secobarbital serpl scn-mcnc
35634-5,ecobarbital serplscn-mcnc quan
35634-5,secobarbital screen [mass/vol]
35634-5,qnt secobarbital screen [mass/vol]
35634-5,secobarbital scren[mass/vol] addiction
53451-1,uracil arabinoside [mass/volume] in serum or plasma
53451-1,or arabinoside [mass/volume] in serum level uracil plasma
53451-1,uracilaabinoside serpl [mass/volum] serum in or plasa
53451-1,uracil arabinoside serpl-mcnc
53451-1,serum rcl rabinoside serum or plasma-mc
53451-1,uracil arabinoide serum or plasma-cnc
53451-1,uracil arabinoside [mass/vol]
53451-1,uracil arabinoside [mass/vol] plasma
53451-1,arabinoside uracil [mass/vol]
6523-5,rabies virus neutralizing antibody [units/volume] in cerebral spinal fluid by neutralization test
6523-5,rabies virus cerebral antibody [units/volume] in neutralizing spinal fld spinal fluid by neutralization test
6523-5,rabies virusneuralizng anibody [units/volume] in cerebral sinal fuid by neutraliaton test
6523-5,rabv nab csf nt-acnc
6523-5,rabv nt-n csf nab
6523-5,antby rabv nab csf nt-acnc
6523-5,rabies virus neut ab neut test qn (csf)
6523-5,rabies virus (cerebrospinal fluid) ab neut test qn neut point in time
6523-5,rabies virus neut ab neut test n (cerebrospinal fluid)
42181-8,myocardium ab [presence] in serum by immunofluorescence
42181-8,myocardium immunofluorescence [presence] in serum acif by ab
42181-8,myocardium ab [presence] in serum point in time by immunofluorescence
42181-8,myocardium ab ser ql if
42181-8,myocardium ab serum ql if
42181-8,myocardium ab ser fluoresent ql if
42181-8,myocardium ab if ql (s)
42181-8,myocardium ab (s) ifql
42181-8,ifa q ab if mocadium (s)
49377-5,hepatitis c virus rna [units/volume] (viral load) in cerebral spinal fluid by naa with probe detection
49377-5,heptits ligase chain reaction c virus with [unitsvolume] (viral lod)in cerebral spinalfluid by na rn probe detection
49377-5,hepatitis c virus rna [units/volume] (vira load)in cerebral spnal luid by naa hep wth pobe detection
49377-5,hcv rna csf naa+probe-acnc
49377-5,hv rna csfnaa+prb-acnc amplified
49377-5,hcv rna cerebrospinal fluid naa+probe-acnc amplification
49377-5,hcv rna naa+probe qn (csf)
49377-5,quantitative hcv rna naaroeqn (sf)
49377-5,hcv naa+probe rna qn (csf)
79152-5,acenocoumarol [mass/volume] in body fluid
79152-5,acenocoumarol fluid in body [mass/volume]
79152-5,acenocoumarol drugs [mass/volume] in body fluid
79152-5,acenocoumarol fld-mcnc
79152-5,acenocoumarol random fld-mcnc
79152-5,fld-mcnc acenocoumarol
79152-5,acenocoumarol (body fld) [mass/vol]
79152-5,aenocoumarol (body fl) [mass/v]
79152-5,acenocoumarol (body fld) [mass/vol]
74326-0,mica*036 igg ab [presence] in serum
74326-0,mica*03igg a[ql] in serum
74326-0,igg mica*036 ab ql [presence] in ser
74326-0,mica*036 igg ser ql
74326-0,mica*03 ig ser ql
74326-0,mica*036 ser igg serology ql
74326-0,mica*036 igg ql (s)
74326-0,mica*036gg ql () major histocompatibility complex class i chain-related antigen a
74326-0,mica*036 (s) ql igg
72133-2,montreal cognitive assessment [moca]
72133-2,montreal cognitive [moca] assessment
72133-2,montreal cognitive [moca] assessment point in time
13063-3,drug induced platelet ab [units/volume] in serum
13063-3,drug induced platelet ab [units/volume] autoantibody in ser
13063-3,drug inducd latelt ab[units/vlume] n serm
13063-3,drug ind plt ab ser-acnc
13063-3,drug ind ser-acnc ab plt aby
13063-3,drug ind plt antibodies ab serum-acnc
13063-3,drug induced platelet ab qn (s)
13063-3,(s) inuced antibodies platlet a qn drug
13063-3,dg inducedplatelt qn ab serology (s)
27417-5,candida sp iga ab [units/volume] in serum by immunoassay
27417-5,candida sp by ab [unt/volumein serum iga mmnoassay
27417-5,canida spiga ab [unitsvolme] in thrush serum y immunoassay
27417-5,candida iga ser ia-acnc
27417-5,candida iga quant ia-acnc ser
27417-5,cndida ia ser pt a-acnc
27417-5,candida sp iga ia qn (s)
27417-5,candida iga sp ia qn (s)
27417-5,candida sp iga ia qn (s) quantitative
105539-1,p-fluoro cyclopropyl fentanyl [mass/volume] in urine
105539-1,p-fluoro cyclopropyl fentanyl [mass/volume] duragesic in urine
105539-1,p-fluoro [mass/volume] fentanyl cyclopropyl actiq in urine
105539-1,p-fluoro cyclopropyl fentanyl ur-mcnc
105539-1,cycloprpl p-fluoro drugs fentyl ur-mcnc
105539-1,fentanyl cyclopropyl p-fluoro ur-mcnc
105539-1,p-fluoro cyclopropyl fentanyl (u) [mass/vol]
105539-1,p-fluoro cyclopropyl fentanyl (u) [mass/vol]
105539-1,p-fluoro cyclopropyl quan fentanyl (u) [mass/vol]
14848-6,neutrophils/leukocytes in pleural fluid by manual count
14848-6,neutrophils/leukocye by pleua fluid in manua count
14848-6,neutrophils/leukocytes in pleural pmn fluid by manual count
14848-6,neutrophils nfr plr manual
14848-6,nfr neutrophils plr manual
14848-6,neutropis fr neutr manua plr
14848-6,neutrophils/leukocytes manual cnt (pleur fld)
14848-6,cnt manual neutrohs/lekcytes neut (peur fld)
