anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
transitional eithelial cells urne|transitional epithelial cells urine|mch elec blood
bicarbonate, stool stool|bicarbonate, stool sool|eosinophils blood
nrbc cerebrospinal fluid (csf)|nrbc cerebrospinal fluid (csf)|blood count eosinophil
hepatitis abs a virus antibody bld|virus a hepatitis antibody blood|lymphocytes random ascites
hypersegmented neutrophils cerebrospinal fluid (csf)|hypersegmented (csf) cerebropinlfluid neutrophil|bilirubin, heme total blood
flui un body ueanitrogen, other bdy fd|urea nitrogen, other fluid body body fluid|eosinophils joint fluid
total protein, ascites ascites|ascites protein, total ascites|atiody eia surace hepatitisb bloo
urea nitrogen, ascites ascites|ea ascites ascitis nitrogen, ascies|pleural macrophages quant
polys pleural|polys granulocyte pleural|myoglobin, urine urine
ascites osmolality, ascites|osmolality, ascites ascites|count count/volume granulocyte bld
blood cd23|blood cd23|wbc, (csf) cerebrospinal fluid csf
sodium, ascites ascites|sodium, asitesascites|macropages quant pleural
sex blod plsm gloulin hormonebining|sex bindng hormoe globulinbood|blood heoglobina1c % haemoglobin
penil cells cell bl|pencil cells lm blood|potassium, body fluid other body fluid
henytin, free blood serum or plasma|phenytoin, free blood|blood homocysteine
(ld) dehydrogenase lactate blood|lactte dehyrogenase (ld) blood|cd56 blood
cacium oxalate crytals urine|calcium urine crystals oxalate|bleedig tie lod
antibodies hashimoto's thyroiditis anti-thyroglobulin blood|anti-thyroglobulin antibodies blood|blood cortisol
bld m immunoglobulin|blood immunoglobulin m m immunoglobulin|fetal blood percent hemoglobin
bacteria urine|urine bacteria|total protein, blood pt
urine albumin, urine|albumin, urine urine|protein s, blood functioal
blood count, manual reticulocyte|count,manual reticulocte bloo|cholestero, prt ascites ascites
calcium, body chemistry fluid other body fluid|fuid boy calcium, other body fluid|cd45 fluid body other
lod aid valproic|acid valproic bld|stool icaronate, stool
mesothelial cells pleural|msothelal lkcs ells pleural|myelocytes cerebrospinal fluid (csf)
blood c hemoglobin|hemoglobin hb c bld|blood fa centromere
length collection urine of urine|total tmeurine colection|rbc urine
phosphatase alkaline blood|alkaline bod phosphatase|potassium, blood blood whole
parathyroid intact parathormone hormone blood|parathyroid hormone blood|ascites actes potassim,
platelet clumps blood|platelet clumps blood qualitative|polychromasia point in time blood
cd45 bonemarrw|cd5 marrow bone|lymphocytes pleural
cd10 bone marrow|d10 marrow bone|blood cortisol
bicarbonate, other fluid other body fluid|bicarbonate, other fluid other body fluid|polychromasia blood
blood oxyen|blood oxygen|macrophage ascites
fluid other body myelocytes|myelocytes body other fluid|amonum birate urne
hematocrit blood|bloo hematcit|lymphocytes random ascites
blood (t3) triiodothyronine|blood (t3) quant triiodothyronine|luteinizing blood hormone
iron stn stain bone marrow|iron stain bone marrow|pep, csf csf fraction (csf)
anticardiolipin antibody igm blood|igm antibody anticardiolipin blood|bilirubin, total, body fluid bod other body fluid
glyco a other body fluid|glyco a otherby fluid|bone cd marrow
hb bld methemlbin|methemoglobin blood quant|blood cd2
factor ix blood|blood ix factor|blood cd59
blod folate|folate blood pl|other ratio cd4/cd8 body fluid
reptilase blood time|reptilase time blood|quan blod m imoglobuin
factor x blood|blood x factor|cd5 bodyfluid othr
bleeding time blood|bleedig bood time|lod melocyts
ascites leuk eosinophils|eosinophils ascites|anisocytosis blood
cd5 marrow bone|bone cd5 marrow|other ratio cd4/cd8 body fluid
cd3 other body fluid|other cd3 body fluid|urea nitrogen, other fluid body body fluid
renal epihlialclls rine|renal epithelial cells urine|hypersegmented neutrophils blood
epithelial transitional cells urine|transional epitheliaclls urine|phosphate, urine urine level
eosinophis bld|blood eosinophils|urine hypenatedyeast
absolute lymphocyte count blood lympho|absolute lymphocyte blood count|blood cd7
hypersegmented neutrophils blood|neutrophils hypersegmented neutrophil blood|immunoglobulin g blood
cd16/56 other body fluid|c16/5 other bod flid|polys fld joint
pt blood|pt blood|blood tota bilrubin,
ani-thyroglobulin sr bood antibodies|antibodies hashimoto's thyroiditis anti-thyroglobulin blood|caculatedthyroxine (t4)index bloo
riglycerides blood|blood triglycerides|bood f quantitative hemolobin
mch hb bloo|mch blood|urine volume urine
blood kinase (ck) creatine plasma|creatine kinase (ck) bod|blood methemoglobin
phsphate, urine level urine|phsphate, urine uine|bld cyclosporin random
blood cd19|blood cd19|reticulocyte count, automated blood
blod mylase|sr amylase blood|fatty urine
cstals carbonate calcium urine|calcium crystals carbonate urine|blood (t3) quant triiodothyronine
magnesim, body fluidothr bod flui|magnesium, body fluid other body fluid|lymphoctes, blood percet
eosinophils othrboy fluid|eosinopils fluid body othr|pleural macrophages
cd5 blood|cd5 bod|fluid other body cd41
point in time % hemoglobin a1c blood|% hemoglobin glycosylated hemoglobin a1c blood|percent phenytoin, free diphenylhydantoin blood
urine specimen type urine|urine specimen urine type|cd5 other bdyfluid
hemoglobin f elp bld|hemoglobin f blood|phenytoin, free blood
blood count wbc|absolute wbc count blood|other cd8 bodyfuid
mrrow bone cd5|bone cd5 marrow|reatine serplas kinase, mb isoezme blod
urine universallaborders ph|urine ph|immunoglobulin g blood
blood cd56|cd56 blood|amylase, joint fluid joint fluid
blood globulin quantitative|blood globulin|bloo hematcit
cd2 bone marrow|cd2 bone arow|mono leural leukocyte
eosinophils ascites|percent eosinophils ascites|parasite bld smear bld
cd41 bone marrow|cd41 marro bone|urine volume urine
sugar water test blood|pnh sugar water test bld|anti-smooth muscle sr antibody bld
urinerine ur potasum,|potassium, urine urine|absolute cd8 count blood
blood cd2|blood cd2|blod hla-dr
total pleural thoracentesis fluid pleural protein,|total protein, pleural pleural|nrbc joint fluid
mesothelial fluid cebrospinl cells (cerebrospinal fluid)|mesothelial cells (csf) fluid cerebrospinal|monocyte count blood
bodies pappenheimer blood|blood bodies pappenheimer|blood hemoglobin
red blood cells blood|red cells blood whole blood blood|homocysteine bld
fluid(sf) cebrospina lkcs blasts|blasts cerebrospinal fluid (csf)|blood fa centromere
macrophag joint fluid|macrophage joint fluid|<albumin> cerebrospinal fluid (csf)
serum ntprobnp loo|pept ntprobnp blood|quanitative g6pd blood phosphorous
cells epitheli urne|epithelial cells urine|acid blood phosphatase
bone cd45 marrow|cd5 marrow bone|c7 bone marrow
blood cd13|cd13 blood|measured osmolality, bld
thyroglobulin bld serp|thyroglobulin blood|blood thrombin
blood centromere|blood cen centromere|bicarbonate blood ser
(csf) cerebrospinal fluid macrophage|random macrhae cerebrospina (csf) fluid|syn wbc, joint fluid jin fluid
macroovalocytes bld|macroovalocytes blood|bone cd15 marrow
urine urn urine myoglobin,|myoglobin, urine urine|gamma glutamyltransferase bld
marrow bone cd15|marrow bone cd15|basophils fluid cerebrospinal (cerebrospinal fluid)
total protein, blood pt|protein total bloo|hepatitis c hepatit antibody virus bld
blood macroovalocytes|macroovalocytes blood|basophils (cf) flui erebrospinal
spinal fl fluid csf cerebrospinal rbc, (csf)|rb, csf hematology/cell counts (csf fluid erebrospinal|blood cd5
hepatiti bcore antibody, hepatis igm blood|hepatitis b core antibody, igm blood|cd38 other body fluid
blood po2|respiratory po2 bld|urine carbonate crystals calcium
sodium, asitesascites|qnt sodium, ascites scites|bilirubn rine crystals
urine crystal tyrosine|tyrosine crystals urine|basophilic stippling bld micro
basophis cerebrospnal (cerebrospinal fluid) fuid|basophils fluid cerebrospinal (cerebrospinal fluid)|mch elec blood
pten s, funciona blood|protein s, blood nctiol|bands blood
blood, occlt stool|stool occult blood, faeces|sickle cell preparation blood
urea nitrogen, urine urine|rea urineurine nitrogen,|sickle cell point in time preparation blood
anticardiolipin igm antibody blood|anticardiolipin antibody igm blood|platelet count blood
urine urie phsphate,|phsphate, urine uine|globulin blood
d-dimer blood|d-dimer blod|qual urine bodies fat urine
eosinophils ascites|percent eosinophils ascites|bone cd8 marrow
ovalocytes blood|blood ovalocytes|cd138 oter body fud
estimed serpl gfr(mdrd equation) bld|esimate gfr (mdrd equation) blood|heparin blood
blood calcium free|blood calcium free substance concentration|procainamide serum or plasma bood
cancer antigen 27.29 blood sr|cner antigen blood plsm 27.29|monos pleural
fluid other body cd117|cd117 other body fluid|qnt blod mchc
cocaine, qualitative urine urine|urine urine cocaine,|bilirubin urine
body nitrogn, urea fluid otherbodfluid|flui un body ueanitrogen, other bdy fd|blood pco2
cd4/d8 rtio othr body id|cd4/cd8 fluid other body ratio|blood cd10
cd13 marrow bone|cd13 bone marrow|sulfonamides urine
alanine universallaborders aminotransferase blood (alt)|alanine aminotransferase (alt) blood|hemogloblin blood s
urea nitrogen, point in time body fluid other body fluid|urea nitrogen, body fluid other body fluid|hyphenated yeast urine
other cd45 body fluid|body other cd45 fluid|amorphous urine crystals
urine ua screen, urine barbiturate|drug/toxicology barbiturate rine screen, ure|spinal fld albi>cerebrospinal fluid cf)
calculated cco2 total co2 blood|clculated tota co2 blood|prot. electrophoresis, urine urine
calculated tbg blood|calculated tbg blood point in time|mch blood
globulin blood|globulin bld|blood basophis
ld, bod flui othr body flud l-lactate dehydrogenase|ld, body fluid other body fluid|glyco a blood
clciu total blod|quan calcium, blood total|cd4/cd8 ratio blood
quantitative hemoglobin blood|hemoglobin blood|plas flud otherbod
reptilase blood time|reptilase blood time|ha-dr bonemarrow
ni-parietal blood antibody cell aby|ati-parietal ll antibodyblood|urine ua screen, urine barbiturate
atypical lymphocytes ascites|wbcs atypical lymphocytes ascites|blood v factor
hematocrit, fluid quan fluid other body other|hematocrit, other bod fluid other body fluid|blod folate
pten s, funciona blood|protein s, blood functioal|bite cells lod
glucose blood|bld gluc glucose|bone cd23 marow
yeast hyphenated urine|urine hypenatedyeast|cholesterol ratio (total/hdl) blood cardiology
bone hla-dr marrow|hla-dr bone marrow|blood cd7
hemogloblin blood s|heogloblinsblood|blood methemoglobin
stool chloride, stool|stool stool chloride,|ni-parietal blood antibody cell aby
blood cd19|cd19 blood|serum ntprobnp loo
bicarbonate, urine urine|bicaonate, urne urie|blood acid pl uric
follice hormonelood stmulatin|plasma follicle stimulating horone lood|blood tobramycin
(csf) cerebrospinal fluid macrophage|macrophage cerebrospinal fluid (csf)|blood cd41
crystls bilirbin urine|bilirubin urine crystals|cd64 bone marrow
blood pco2|pco2 blood|platelet smr blood
t troponin bld|troponin sr bld t|cd15 othr body fluid
bilirubi, blood universallaborders tota|bilirubin, total blood serpl|fmc-7 bod
cyclosporin bld|cyclosporin blood|bicarbonate, ascites ascites
hormone parathyroid blood|parathyroid intact parathormone hormone blood|nonsquamous cell epithelial urine
renal urine cells epithelial|renal epihlialclls rine|luteinizing hormone blood
urine wbc|wbc urine|blood cd11c
blood pl salicylate|salicylate bld|c-reactive protein blood
cd19 other fluid body|the d19 body fluid|wbcs atypical lymphocytes ascites
c7 other body fluid|fluid other body cd7|clcium hosphate crysta urine
eosinopil ascits|eosinophils ascites|calcium, body fluid other body chemistry fluid
lymphs (cerebrospinal fluid) fluid cerebrospinal wbc|lymphs cerebrospinal spinal fl fluid (cerebrospinal fluid)|plsm vancomycin blood
urine carbonate crystals calcium|calcium crystals carbonate urine|phosphate, body fluid other body fluid
mrrow bone cd5|cd5 bone marrow|glyco a blood
uptake ratio blood|ratio uptake blood|cd34 bone mrrow
total prtein, body luidother body fluid|body protein, total fluid other body fluid|pept ntprobnp blood
lymphocytesjoint fluid leukocyte|lymphocytes joint white bld cells fluid|wbc atypical lymphocytes ascites
rbc asts urn|rbccasts urine|peral percent monos
body other cd45 fluid|cd45 other body fluid|calcium, body fluid other body chemistry fluid
cd8 body other fluid|other cd8 bodyfuid|factor bood ii
rheumatod faco blood|rheumatoid blood enzyme immunoassay factor|blood cd20
blood blood schistocytes|blood schistocytes|blood cd33
blood ph|bld whole bld ph|marrow bone cd10
chloride blood|blood chloride|total urine protein, urine
protin c, uncinal blood|functional c, protein blood|bone cd15 marrow
chlesterol, ldl, measu bloo|cholesterol, ldl, measuredblood serplas|blood ferritin
troponin sr bld t|t troponin bld|creatine kinase (ck) bod
blood bodies pappenheimer|pappenheimer blood bodies|platelet clups bld
length of urine collection urine|lengthof rine colleco urne|mitochon anti-mitochondrial bld antibody
fluid lymphocytesjoint|lymphocytes joint white bld cells fluid|bas blod eces calculation
creatinine, chemistry pleural pleural|reatiine, pleural leural|cd19 blood
nrbc nuc cerebrospinal fluid (csf)|normoblasts nrbc cerebrospinal fluid csf)|cd22 other body fluid
cacium oxalate crytals urine|calcim oxalate urine crstals|blood cd20
mear # platlet blood|bloo smear platelet manl|anti-smooth muscle antibody blood
bledigtime blood|bleeding time blood|alb albumin blood
wbc, cerebrospinal csf fluid (csf)|csf wbc, csf (csf)|blood salicylate
dph phenytoin blood|blood phenytoin|c16/5 other bod flid
cholesterol, total blood|total cholesterol, blood|other cd3 body fluid
cerebrospinal metamyelocytes spinal fl fluid (csf)|cerebrospinal metamelcytes metas fuid (csf)|lipase, ascites ascites
marrow c41bone|cd41 bone marrow|glucose, body fluid other body fluid
osmolality, urine urine|osmolliy, urine rine|calcium urine crystals oxalate
blood cd5|cd5 blood|sodimblod
tal proei, oint fluid oint fluid|total protein, joint fluid joint fluid|pep, fluid cerebrospinal cerebrospinal fluid (cerebrospinal fluid)
rea urineurine nitrogen,|urea nitrogen, urine urine|factor blood ix
renal urine cells epithelial|renal epihlialclls rine|hla-dr blood
blood neutrophils|neutrophils blood|bicarbonate, other fluid other body fluid
urine at fre|fat free urine|uie cells renalepithelia
hypersegmented neutrophils csf (csf)|hypersegmented neutrophils cerebrospinal fluid (csf)|sodimblod
blood ovalocytes|ovalocyte blood ovalocytes|pleural pleural bicarbonate,
ck-mb blood ck-mb index|ck-mb blood index|bld vancomycin
xiii factor blood|xiii factor blood|ascites ascites creatinine,
potassium, urine qnt urine|urinerine ur potasum,|blood cd2
nitrite urine|urine nitrite|macrophage other body fluid
methemoglobin bld|methemoglobin blood|triiodothyronine (t3) blood
blood anisocytosis|aniocytosis bld|axy casts urine
cholesterol, body fluid other body fluid|cholesterol, body fluid other body quant fluid|globulin bld
serum hepatitis b surface antibody blood|atiody eia surace hepatitisb bloo|platelet cont blood
bld fraglity smotic|osmotic fragility blood|epatiti c bloo antibody virus
carboxyhemoglobin blood|blood carboxyhemoglobin|fetal hemoglobin blood
rb, csf hematology/cell counts (csf fluid erebrospinal|rbc, csf cerebrospinal fluid (csf)|urine nitrite
cerebrospinal metamelcytes metas fuid (csf)|metamyelocytes cerebrospinal (cerebrospinal fluid) fluid|cd20other body fluid
follicle stimulating hormone blood universallaborders|follile stimulaing sr blood hormon|protein s, blood nctiol
lipase, ascites lipase ascites|lipase ascits ascites ipase,|myoglobin, urine urine
bld macrocytes|macrocytes blood|macrophage cererospinalfuid (csf)
cd41 blood|blood cd41|other cd3 body fluid
phosphate, body fluid other body fluid|phosphate, body fluid other body fluid|blood ptt
clumps platelet blood|platelet clumps blood|riglycerides blood
red blood cells blood|re cellsblood blood|blood kinase (ck) creatine plasma
benzodiazepine screen blood|benzodiazepine blood screen|gradient alveolar-arterial blood
polys csf (csf)|fluid cerebrospinal polys (csf)|bone cd16/56 marrow
hepatitis c virus antibody blood|epatiti c bloo antibody virus|cd other body fluid
basophils joint fluid|fluid joint basophils|fibrn dadtion bloo prodcts
blood lymphocytes|lymphctes blood|carciebyronc antigen (cea) antigens blod
urine ketone|ketone urine|msothelal lkcs ells pleural
ascites acites poassium,|ascites k ascites potassium,|protin c, uncinal blood
prolactin blood lactotropin|prolactin blood|ld, bodies body fluid other body fluid
blood cortisol|blood cortisol|platelet smr blood
urine specien type urine|urine specimen urine type|blood cd22
a glyco bood|blood a glyco|cocaine, qualitative urine urine
fatty urine|rine fatty|urine color urine
protein electrophoresis blood|blood roteinlectroporesis|cd117 other body fluid
blood neutrophils|neutrophil bood|bld serology ant-thyroglobulinantbodie
blood pl salicylate|salicylate bld|blood oxygen
troponin sr bld t|t troponin bld|urea nitrogen blood
ferritinblod|blood ferritin|blood ga anion
heprn blood|eparin blood|24 hr calcium urine
chemistry cholesterol, body fluid other body fluid|cholesterol, body fluid other body fluid|pt blod
white blood cells ascie polys|polys gran ascites|macrovalocytes blood
blood cd7|cd7 bloo|hyaline urine casts
riculoytecoun, blood autoate quan|reticulocyte count, automated blood|(csf) cerebrospinal fluid macrophage
ai-smoth antibody muscle blood|anti-smooth muscle antibody blood|cd1 blood
blood lymphocytes|lymphocytes lymphs% bld|lymphocytes percenblod
protein s, blood nctiol|protein s, blood functioal|creatine kinase, mb isoenzyme blood
phsphate, urine uine|urine urie phsphate,|reptilase blood time
cner antigen blood plsm 27.29|quant cancer antigen 27.29 bld|urine ua cratnineclearnce
blood c3|blood c3|quant ibody,iga nti-gliadin bld
metamyelocytes other body fluid|metamyelocytes percent other body fluid|osmolality, ascites ascites
cd16/56 bone marrow|bone cd16/56 marrow|riculoytecoun, blood autoate quan
glucose bld whole bld|glucose blood|basophils joint fluid
osmolality, universallaborders blood measured|measured osmolality, bld|c16/5 other bod flid
ticulocye retics automatdblood cot|rticulocyte cunt,utomated blod auto|ovaoctesblod
calcium, fluid body other body fluid|calcium, body chemistry fluid other body fluid|young cells blood
bld neutrohils hyperegmented manl|hypersegmented neutrophils blood|fat fe urine
blood cd41|blood cd41|c3 blood
basophilic stippling bld micro|basohilic stippling bood|fluid other body cd11c
blood cd10|blood cd10|urea nitrogen, ascites ascites blood urea nitrogen
marrow bone cd13|cd13 marrow bone|urne volume urine
urine fat bodies ordinal urine|urine boies fat chemistry urine|plasma cells pleural hematology/cell counts
etoh etanl blod|ethanol blood|polys joint fluid
cholesterol, hdl blood|olestrol, lood hl|uptake ratio blood
willebrand von factor activity blood|von illebrand actor activity blood|neutrophil bood
blood percent lymphocytes,|lymphocytes percenblod|hepatitis b surface anibody blod
arcinoemyroic antigen (cea) blood|carciebyronc antigen (cea) antigens blod|cells, cd4 percent blood
bood cont, automated reticlocyt|ticulocye retics automatdblood cot|joint eosinophils fluid
lymphocytes qnt joint fluid|lymphocytesjoint fluid leukocyte|urine carbonate crystals calcium
phosphate, urine urine level|phsphate, urine uine|cholesterol, pleural pleural
bld ql schistocytes|blood schistocytes|quan bsophil pleural
white blood cells blood|blood wb white cells bood|ascites osmolality, ascites
cancer antigen 27.29 blood sr|tumor marker cancer antigen 27.29 blood|bicarbonate, stool sool
cd38 fluid body other|body other cd38 fluid|atypical lymphocytes ascites
envelope blood cells|cells envelope blood|polys quan ascites
monocytes cerebrospinal fluid (csf)|cerebrospinal monocytes fluid hematology/cell counts csf)|blood ptt
bicarbonate blood ser|blood bicarbonate|marrow bone cd103
igm antibody anticardiolipin blood|blood antibody igm anticardiolipin|hypersegmented bld neutrophils neuts hyperseg
aio uptake blood|ratio uptake blood|hemoglobin blood c point in time
bse excess pulmonology bloo|bas blod eces calculation|pten s, funciona blood
cd4/cd8 body other ratio fluid|cd4/cd8 fluid other body ratio|benzodiazepine blood screen
prostate specific antigen serp blood|urology prosate blod angen specfic|antinuclar blood ntibody antby
blood cd23|blood cd23|total protein, joint fluid joint fluid
urne, hcg, qual urine|hcg, qualitative urine, urine|free calcium blood
sperm urine|urine sperm|lymphocytes qnt joint fluid
length of urine collection urine|total ollection time urine|total protein, csf cerebrospinal fluid (csf)
urine acid crystals uric|uric acid crystals urine|toal proten urineurine
lymphocytes joint fluid|fluid lymphocytesjoint|iron stain bone marrow
blod pl cid valproic|lod aid valproic|protein, total blood
blod cd11c|bloo cd1c|other promyelocytes body fluid
tidal volume blood|tidal volume blood|macrovalocytes blood
envelope cells blood|cells envelope blood|plsm vancomycin blood
metamylocyts other body fluid|metamyelocytes percent other body fluid|othebody bands fluid
gamma glutamyltransferase blood|amma glutamyltransferase gamma glutamyl transpeptidase blod|pols crebospnl flud cerebrospinal fluid)
chloride blood|blood chloride|mtamyelocyteother body fluid
urine color urine|urine urine color|cholesterol, ldl, measuredblood serplas
lymphocyes oter ody fluid|body other quantitative lymphocytes fluid|hla-dr bone marrow
eosinophils other body fluid|quan eoinophils othebody fuid|blood anti-mc
blod mylase|amylase blood|carcinoembyronic antigen (cea) blood
protein c-reactive blood|qnt c-ractve roenblood|osmolliy, urine rine
polys other body fluid|cell polys othe body flu|blood cd7
blood ptt|blood ptt|phosphate, body fluid other body fluid
bloo fetalhemoglobin|fetal blood percent hemoglobin|quanitative g6pd blood phosphorous
blood v factor|blood v factor|bld glucose
stool stool chloride,|stool chloride, stool|point in time % hemoglobin a1c blood
volume tidal blood|tdal volume bloo|rheumatoid factor blood
blod ganulocytecount|ct cuntblod granlocte|specific gravity urine
total pleural thoracentesis fluid pleural protein,|total protein, pleural pleural|folate blood pl
blood cd20|blood cd20|calcium carbonate crystals urine
fluid(sf) cebrospina lkcs blasts|cerebrospinal fluid spinal fl cerbrosinafluid blasts|benzodiazepine screen blood
blood cd56|cd56 blood|serpl index ck-mb blood
pleural pleural level chloride,|lung pleural chloride, pleural|cd13 marrow bone
blood c6|blood cd16|bld glucose
24 hr creatnine urine mrate|24 hr creatinine urine|o2 flow blood
nitrite urine|urine nitrite|uric acid crystals urine
blood, occult stool|bld, ocut ool|cd4/cd8 fluid other body ratio
hcg, qualitative urine, urine|urne, hcg, qual urine|blood aminotransferase serum (alt) alanine
vlume urine urine|urine volume urine|lymphs (cerebrospinal fluid) fluid cerebrospinal wbc
lmw heparin, blood|heparin, mw blood|albumin, pleural pleural
cells, cd8 percent blood|cd8 cells, percent blood|plasma other body fluid
basophils joint fld joint fluid|basophils jit flud quan|creatinine, level fluid fluid joint joint
acid valproic bld|valproic acid blood|monocytes cerebrospinal fluid (csf)
bas othr body fluid|bands other body fluid|ql prep heinzbo lood
marrow bone cd5|cd5 marrow bone|wbc urine casts
platelet bld count|whole blood platelet count blood|protein total bloo
urine volume urine|urne volume urine|chloride, aites scites
cd4/cd8 body other ratio fluid|cd4/cd8 ratio other body fluid|ptt blood
cd15 bone mrro|marrow bone cd15|volume tidal blood
cell polys othe body flu|polys other body fluid|other a glyco body fluid
cd45 bonemarrw|cd45 bone marrow|fluid type other body fluid
blood volume tidal|tdal volume bloo|wbc, joint fluid joint fluid
cd10 blood|cd0 blood|urea nitrogen, ascites ascites blood urea nitrogen
clumps platelet blood|platelet clups bld|munogluin g blod
phosphate, body fluid other body fluid|phospte, ody fu oter boy fluid|calcium phosphate urine crystals
lymphocytes other body fluid quant|body other quantitative lymphocytes fluid|bld antibody anti-mitochondrial
bloo phosphatase alkalie alkaline phosphatase.total|phosphatase alkaline blood|bicarbnate, ascites sites quantitative
urine blood|urine blood|o2fow blod flow
alkaline bod phosphatase|phosphatase alkaline blood|hematocrit, csf cerebrospinal fluid (csf)
a glyco bone marrow|glo  bone marrw|urea nitrogen, ascites ascites
clculate tbg bld|calculated tbg blood|blasts blood ct
hypersegmented neutrophils csf (csf)|fluid neutrophils cerebrospinal hypersegmented (csf)|eosinophils joint fluid
blood cd23|blood cd23|blood cd7
cd19 blood|blood cd19|alkaline leukocyte phosphatase blood
blood cells, percent cd8|cd8 cells, percent blood|ovalocyte blood ovalocytes
wbc plasma cels leural|plasma cells pleural hematology/cell counts|glucose, urine urine quan
cd8 cells, percent blood|cells, cd8 percent blood|phenytoin, percent free blood
ld, joint fluid joint fluid|ld, fluid fluid joint joint|cholesterol, ldl, measured blood
ct cuntblod granlocte|count count/volume granulocyte bld|albumin/creatinine, urine urine
amylase, joint fluid joint fluid|amylas, joit fluid uid joint syn|glyco a other bodyfluid
hla-dr bone marrow|bone hla-dr marrow|cd14 bone marrow
blood gastrin|gastrin quan bld|plasma blod cels
red cell rbc, pleural pleurl|pleural count/volume rbc, pleural|microcytes ordinal blood
transitional eithelial cells urne|transitional epithelial urine cells|eosinophis bld
nrbc joint fluid|nrbc fluid erythroblasts joint|absolute lymphocyte count blood lympho
viscosity serum blood|erm viscost blood|blod ganulocytecount
thrombin blood|lood thrombin|basophils pleural
absolute wbc count blood|wbc count blood|toal proein, pleurlpleural
fac rheumatoid factor blood|rheumatod faco blood|reainine, random pleral pleurl
urineurie calcium, ur|calcium, substance concentration ine uri|blood cd2
prtei blood anigen s,|protein s, anigen blod|cd45 bonemarrw
quant iron bld|level iron blood|equation) gfr mdrd estimated bld
blood sodim|sodimblod|tal proei, oint fluid oint fluid
protein s, blood functioal|protein s, blood nctiol|blood v factor
bands boy neut ther flud|neutr bands other body fluid|cd4 othr body flud
blood free phenytoin,|phenytoin, free blood|cd5 other body fluid
gamma glutamyltransferase bld|gamma glutamyltransferase blood|level iron blood
urine sperm|urine sperm|marrow bone cd5
bld c3|blood c3|quan mchc blood
bon cd4 marw|cd4 bone marrow|lood parasite blood infectious disease smar
factor rheumatod lood|rheumatod faco blood|blood count eosinophil
urne volume urine|urine volume urine|count,manual reticulocte bloo
glyco a blood|glyco a blood|burr cellularity cells bood
urine glucose|glucose urine|creatinine, pleural pleural
bcarboate, stoo stol|stool icaronate, stool|estimed serpl gfr(mdrd equation) bld
lmphocytes blood|lymphctes blood|bld fraglity smotic
creatine blood (ck) kinase|(c)blo kinase cratine qnt|blood xi factor
cd117 other body fluid|other cd117 body fluid|sodium, ascites ascites
bnzodizepine scren, urine urine qualitative|benzodiazepine screen, ur pr urine|urine urine osmolality, urn
glucose urine|urine glucose|other cd117 body fluid
thyroid blood antibodies peroxidase|thyroid peroxidase antibodies blood aby|eosinophil count blood
ascites protein, total ascites|total protein, ascites ascites|bands other body fluid
bite cells lod|bite cells blood|blood cd41
specific graity urine|specific urine gravity|immunofixation, urine urine hematology
heparin, lmw blood|lmw heparin, blood|calcium, body fluid other body chemistry fluid
fragilityblod osotic|blood fragilty osmotc of|plasma cells pleural
sodium, body fluid other body fluid|sodium, body fluid other body fluid|cocaine, qualitative urine urine
blood b virus core antibody microbiology hepatitis|hepatitis b virus ore antibody blood|macrophage other body fluid
cd8 bone marrow|marrow bone cd8|base excess blood
cd38 other boy flud|body other cd38 fluid|hepatitis b virus core antibody bld liver
cd2 marrow bone|bone cd marrow|tissue transglutaminase ab, iga blood
urine albumin, urine|urinerine chemistry albuin,|hcg, urine, qualitative urine
macrophage other body fluid|bf macrophage other body fluid|immunofixation, urine impressions urine
amylase, jont fluid join fluid|amylas, joit fluid uid joint syn|prtin elecrohoreis bld
fluid(sf) cebrospina lkcs blasts|blasts csf (csf)|absute cd8 coutblood
cd3 bone marrow|cd3 one marrow|cd15 body other fluid
length collection urine of urine|uine collection time total|follile stimulaing sr blood hormon
fluid joint ld, joint fluid|ld, joint fluid joint fluid|blood antibody anti-nuclear
blood phenytoin|dph phenytoin blood|pt cholesterol, pleural pleural
blood cd33|cd33 blood|bands cerebrsal (csf) fuid
bloo sear h/o|h/o smear blood|eosinophils ascites
sulfonamides urine|sulfonamies urine|lood thrombin
hepatitis b surface antibody blood|antibody b surface hepatitis blood|othe cd1c bdy flud
folate blood|blod folate|cocaine, urine urine
protein functional s, blood|pten s, funciona blood|blood cd23
sugarwater test blood|sugar qualitative blood tes water|ascites sodium,ascites
ascites acites poassium,|ascites k ascites potassium,|fluidoter body osmolality, bod fluid
cd7 bone marrow|bone cd7 marrow|urea nitrogen, ascites ascites blood urea nitrogen
methadone, ordinal urine urine|urne potentialforabuse methadone, uine|blood cd7
double dna stranded blood|double stranded dna blood|rstate specific antign bloo
blood fragilty osmotc of|fragilityblood osmotic|calcim oxalate urine crstals
blood cd34|blood cd34|bone a glyco marrow
xiii factor blood|factr xiii blood|blats blood
urine bilirubin|blirubinurine|ells, cd4 percent bood
iron stn stain bone marrow|bone stain iron marrow|benzodiazepine screen blood
cd13 marrow bone|cd13 bone marrow|rheumatoid factor blood
blood a glyco|a glyco bood|factor xiii blood
tpical ascites ascites lympocytes|atypical lymphocytes ascites|pleural count/volume rbc, pleural
hyaline casts urine|hyalin casts urine|cd13 blood
